"動物編號","收容日期","收容園區","收容原因","來源區域","性別","來源地點","毛色毛長","晶片號碼","動物種類","犬牌編號","其他特徵","照片"
"10406020001","2015-06-02","南屯園區","急難救助","烏日區","公","光德路","黑棕","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/5629371771.JPG"
"10406016011","2015-06-01","后里園區","陳情","潭子區","母","大豐路","黑色","","貓","","","http://www.animal.taichung.gov.tw/public/Data/119020/56116571971.JPG"
"10406016010","2015-06-01","后里園區","陳情","新社區","母","龍安街","黃色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/56115274771.JPG"
"10406016009","2015-06-01","后里園區","陳情","東勢區","公","粵寧街","棕色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/56115272671.JPG"
"10406016008","2015-06-01","后里園區","陳情","豐原區","母","信義街","三花","","貓","","","http://www.animal.taichung.gov.tw/public/Data/119020/5611527571.JPG"
"10406016007","2015-06-01","后里園區","陳情","大雅區","母","昌平路","咖啡","","似臘腸","","","http://www.animal.taichung.gov.tw/public/Data/119020/56112581471.JPG"
"10406016006","2015-06-01","后里園區","陳情","大雅區","母","神林路","米色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/56112565771.JPG"
"10406016005","2015-06-01","后里園區","陳情","后里區","母","福興路","棕色","","混種犬","","籃色項圈","http://www.animal.taichung.gov.tw/public/Data/119020/56112552671.JPG"
"10406016004","2015-06-01","后里園區","陳情","后里區","母","福興路","黑色","","混種犬","","黃項圈","http://www.animal.taichung.gov.tw/public/Data/119020/56112535571.JPG"
"10406016003","2015-06-01","后里園區","陳情","后里區","母","福興路","棕色","","混種犬","","藍黑項圈","http://www.animal.taichung.gov.tw/public/Data/119020/56112511371.JPG"
"10406016002","2015-06-01","后里園區","陳情","后里區","母","福興路","黑色","","混種犬","","土色項圈","http://www.animal.taichung.gov.tw/public/Data/119020/56112493771.JPG"
"10406016001","2015-06-01","后里園區","飼主不擬續養","豐原區","公","自行送交","黑白","","混種犬","","已絕育","http://www.animal.taichung.gov.tw/public/Data/119020/56110544171.JPG"
"10406010015","2015-06-01","南屯園區","陳情","西屯區","母","工業33路","黑白","","貓","","","http://www.animal.taichung.gov.tw/public/Data/119020/56117224671.JPG"
"10406010014","2015-06-01","南屯園區","民眾拾獲","西屯區","公","福上巷","棕色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/56117215271.JPG"
"10406010013","2015-06-01","南屯園區","陳情","梧棲區","母","經一路","黃白","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/56117173771.JPG"
"10406010012","2015-06-01","南屯園區","陳情","南屯區","母","春社派出所","灰棕","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/56117144971.JPG"
"10406010011","2015-06-01","南屯園區","陳情","南屯區","母","五權西路2段","三花","","貓","","","http://www.animal.taichung.gov.tw/public/Data/119020/56117125971.JPG"
"10406010010","2015-06-01","南屯園區","急難救助","西區","公","五權8街","白色","","混種犬","","104/06/02飼主領回","http://www.animal.taichung.gov.tw/public/Data/119020/56117111771.JPG"
"10406010009","2015-06-01","南屯園區","陳情","北區","母","原子街","黃棕","","貓","","","http://www.animal.taichung.gov.tw/public/Data/119020/56117102471.JPG"
"10406010008","2015-06-01","南屯園區","陳情","太平區","母","永平路3段","棕色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/56113533471.JPG"
"10406010007","2015-06-01","南屯園區","陳情","太平區","公","中山路2段","黃色","","似臘腸犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/56113523671.JPG"
"10406010006","2015-06-01","南屯園區","陳情","北屯區","母","太原路3段","黃色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/56113513071.JPG"
"10406010005","2015-06-01","南屯園區","陳情","大里區","母","國中路","三花","","貓","","","http://www.animal.taichung.gov.tw/public/Data/119020/56113502271.JPG"
"10406010004","2015-06-01","南屯園區","陳情","大里區","公","中興路一段","黑色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/56113492671.JPG"
"10406010003","2015-06-01","南屯園區","陳情","大肚區","公","沙田路3段","黑虎斑","","貓","","","http://www.animal.taichung.gov.tw/public/Data/119020/56113483371.JPG"
"10406010002","2015-06-01","南屯園區","急難救助","北屯區","公","北屯路","米色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/5611101071.JPG"
"10406010001","2015-06-01","南屯園區","陳情","北屯區","母","北屯路","黃白","","混種犬","","棕項圈+銅鈴鐺","http://www.animal.taichung.gov.tw/public/Data/119020/56110591071.JPG"
"10405310006","2015-05-31","南屯園區","陳情","大肚區","母","沙田路3段","三花","","貓","","","http://www.animal.taichung.gov.tw/public/Data/119020/553115534671.JPG"
"10405310005","2015-05-31","南屯園區","陳情","太平區","公","太和路一段","黑色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/553111385471.JPG"
"10405310004","2015-05-31","南屯園區","陳情","南區","公","建國北路2段","黑色","","混種犬","","藍項圈","http://www.animal.taichung.gov.tw/public/Data/119020/553111375471.JPG"
"10405310003","2015-05-31","南屯園區","陳情","大肚區","","沙田路3段(大肚分駐所)","灰","","似鸚鵡","","104/06/02飼主領回","http://www.animal.taichung.gov.tw/public/Data/119020/55311065171.JPG"
"10405310002","2015-05-31","南屯園區","陳情","沙鹿區","母","三民路","棕色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/55311043471.JPG"
"10405310001","2015-05-31","南屯園區","陳情","北屯區","公","松竹路2段","白色","900138000393***","混種犬","","綠背帶/104/05/31飼主領回","http://www.animal.taichung.gov.tw/public/Data/119020/55311034271.JPG"
"10405306005","2015-05-30","后里園區","陳情","東勢區","母","東坑路","黑色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/55301793471.JPG"
"10405306004","2015-05-30","后里園區","陳情","豐原區","母","水源路","黑色","152173***A","混種犬","","104/06/01飼主領回","http://www.animal.taichung.gov.tw/public/Data/119020/55301792271.JPG"
"10405306003","2015-05-30","后里園區","陳情","豐原區","母","田心路","虎斑","","混種犬","102B097***","
紅黑項圈","http://www.animal.taichung.gov.tw/public/Data/119020/55301785871.JPG"
"10405306002","2015-05-30","后里園區","陳情","新社區","公","龍安街","棕色","","混種犬","","綠黑項圈","http://www.animal.taichung.gov.tw/public/Data/119020/553011454771.JPG"
"10405306001","2015-05-30","后里園區","陳情","外埔區","母","長生路","白虎斑","","貓","","","http://www.animal.taichung.gov.tw/public/Data/119020/553011444171.JPG"
"10405300012","2015-05-30","南屯園區","急難救助","太平區","公","長安路","虎斑","","貓","","","http://www.animal.taichung.gov.tw/public/Data/119020/553016524171.JPG"
"10405300011","2015-05-30","南屯園區","飼主不擬續養","太平區","公","自行送交","黃白","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/553014455171.JPG"
"10405300010","2015-05-30","南屯園區","民眾拾獲","西屯區","公","都會公園","棕色","","貴賓","","","http://www.animal.taichung.gov.tw/public/Data/119020/55301411271.JPG"
"10405300009","2015-05-30","南屯園區","飼主不擬續養","北區","母","自行送交","三花","","貓","","","http://www.animal.taichung.gov.tw/public/Data/119020/553013395771.JPG"
"10405300008","2015-05-30","南屯園區","陳情","北屯區","公","清水巷","黑色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/553013384871.JPG"
"10405300007","2015-05-30","南屯園區","急難救助","東區","母","東成三街","黃白","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/553013372971.JPG"
"10405300006","2015-05-30","南屯園區","陳情","北屯區","公","祥順路","黑色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/553013361271.JPG"
"10405300005","2015-05-30","南屯園區","陳情","大里區","母","中興路","黑色","","貓","","","http://www.animal.taichung.gov.tw/public/Data/119020/55301335971.JPG"
"10405300004","2015-05-30","南屯園區","飼主不擬續養","潭子區","母","自行送交","黑色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/553013341371.JPG"
"10405300003","2015-05-30","南屯園區","飼主不擬續養","北區","公","自行送交","灰白","","西施","","","http://www.animal.taichung.gov.tw/public/Data/119020/55301333571.JPG"
"10405300002","2015-05-30","南屯園區","飼主不擬續養","南屯區","公","自行送交","黑棕","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/553013314371.JPG"
"10405300001","2015-05-30","南屯園區","陳情","南屯區","公","五權西路","黃白","","貓","","","http://www.animal.taichung.gov.tw/public/Data/119020/553013295271.JPG"
"10405296015","2015-05-29","后里園區","陳情","東勢區","母","東坑路","黑色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/552916554171.JPG"
"10405296014","2015-05-29","后里園區","急難救助","潭子區","母","合作街","黑色","","混種犬","","彩色項圈","http://www.animal.taichung.gov.tw/public/Data/119020/552916542871.JPG"
"10405296013","2015-05-29","后里園區","民眾拾獲","大甲區","母","中山路","棕色","158097005001***","似貴賓","","已絕育","http://www.animal.taichung.gov.tw/public/Data/119020/55291641671.JPG"
"10405296012","2015-05-29","后里園區","陳情","大安區","母","溪洲路","白虎斑","","貓","","","http://www.animal.taichung.gov.tw/public/Data/119020/552916383771.JPG"
"10405296011","2015-05-29","后里園區","飼主不擬續養","潭子區","公","自行送交","棕色","","似邊境牧羊犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/552914443171.JPG"
"10405296010","2015-05-29","后里園區","飼主不擬續養","潭子區","母","自行送交","黑白","","似邊境牧羊犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/552914423071.JPG"
"10405296009","2015-05-29","后里園區","飼主不擬續養","東勢區","母","自行送交","黑棕","","混種犬","","已絕育","http://www.animal.taichung.gov.tw/public/Data/119020/55291412771.JPG"
"10405296008","2015-05-29","后里園區","陳情","大安區","母","中山南路","黑色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/552913333271.JPG"
"10405296007","2015-05-29","后里園區","陳情","外埔區","母","長生路","白虎斑","","貓","","","http://www.animal.taichung.gov.tw/public/Data/119020/55291332771.JPG"
"10405296006","2015-05-29","后里園區","陳情","外埔區","母","長生路","虎斑","","貓","","","http://www.animal.taichung.gov.tw/public/Data/119020/552913305171.JPG"
"10405296005","2015-05-29","后里園區","陳情","神岡區","母","中山路","米色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/552913293571.JPG"
"10405296004","2015-05-29","后里園區","陳情","神岡區","公","中山路","黑色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/552913283271.JPG"
"10405296003","2015-05-29","后里園區","民眾拾獲","后里區","母","甲后路","白虎斑","","貓","","","http://www.animal.taichung.gov.tw/public/Data/119020/552911215371.JPG"
"10405296002","2015-05-29","后里園區","飼主不擬續養","龍井區","母","自行送交","黃白","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/552910371971.JPG"
"10405296001","2015-05-29","后里園區","陳情","神岡區","母","和平路","黑色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/55291034171.JPG"
"10405290017","2015-05-29","南屯園區","陳情","霧峰區","公","光明路","黃色","","貓","","","http://www.animal.taichung.gov.tw/public/Data/119020/5529177871.JPG"
"10405290016","2015-05-29","南屯園區","陳情","南屯區","母","五權西路2段","虎斑","","貓","","","http://www.animal.taichung.gov.tw/public/Data/119020/55291763671.JPG"
"10405290015","2015-05-29","南屯園區","陳情","龍井區","母","頭崙巷","黑色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/552916573671.JPG"
"10405290014","2015-05-29","南屯園區","陳情","龍井區","母","三港路","黃色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/552916481771.JPG"
"10405290013","2015-05-29","南屯園區","民眾拾獲","清水區","母","光復街","虎斑","","貓","","","http://www.animal.taichung.gov.tw/public/Data/119020/552916484271.JPG"
"10405290012","2015-05-29","南屯園區","民眾拾獲","西屯區","公","逢甲大學","白色","","雪那瑞","","","http://www.animal.taichung.gov.tw/public/Data/119020/552916493471.JPG"
"10405290011","2015-05-29","南屯園區","急難救助","南區","公","復興路","白色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/55291650571.JPG"
"10405290009","2015-05-29","南屯園區","陳情","烏日區","母","溪南路2段","黑色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/55291211471.JPG"
"10405290008","2015-05-29","南屯園區","飼主不擬續養 ","太平區","母","自行送交","黑色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/55291202371.JPG"
"10405290007","2015-05-29","南屯園區","陳情","西屯區","母","工業33路","黑白","","貓","","","http://www.animal.taichung.gov.tw/public/Data/119020/552911591271.JPG"
"10405290006","2015-05-29","南屯園區","陳情","太平區","母","永成北路","玳瑁","","貓","","","http://www.animal.taichung.gov.tw/public/Data/119020/552911582771.JPG"
"10405290005","2015-05-29","南屯園區","陳情","北區","母","雙十路與精武路口","黃色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/552911571771.JPG"
"10405290004","2015-05-29","南屯園區","陳情","梧棲區","母","南堤路3段","黃色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/552911554571.JPG"
"10405290003","2015-05-29","南屯園區","飼主不擬續養","大肚區","母","自行送交","黑白","","貓","","","http://www.animal.taichung.gov.tw/public/Data/119020/55299211471.JPG"
"10405290002","2015-05-29","南屯園區","飼主不擬續養","大肚區","公","自行送交","黑白","","貓","","","http://www.animal.taichung.gov.tw/public/Data/119020/55299201171.JPG"
"10405290001","2015-05-29","南屯園區","陳情","北屯區","公","太原路3段","黑白","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/55299185471.JPG"
"10405286010","2015-05-28","后里園區","陳情","大甲區","公","中山路","黑色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/552815404471.JPG"
"10405286009","2015-05-28","后里園區","陳情","豐原區","公","鐮村路","黑色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/55281550871.JPG"
"10405286008","2015-05-28","后里園區","飼主不擬續養","潭子區","母","自行送交","黑黃","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/552815283771.JPG"
"10405286007","2015-05-28","后里園區","飼主不擬續養","后里區","母","自行送交","黃色","","似黃金獵犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/552815281271.JPG"
"10405286006","2015-05-28","后里園區","陳情","大雅區","母","學府路","黑色","","貓","","","http://www.animal.taichung.gov.tw/public/Data/119020/552811395571.JPG"
"10405286005","2015-05-28","后里園區","陳情","外埔區","母","長生路","黑白","","貓","","","http://www.animal.taichung.gov.tw/public/Data/119020/552811385271.JPG"
"10405286004","2015-05-28","后里園區","陳情","大雅區","母","中清路","黃色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/55289532271.JPG"
"10405286003","2015-05-28","后里園區","陳情","大安區","母","東西九路","黑色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/55289523271.JPG"
"10405286002","2015-05-28","后里園區","陳情","外埔區","公","長生路","黑棕","","混種犬","","鐵鍊","http://www.animal.taichung.gov.tw/public/Data/119020/55289513871.JPG"
"10405286001","2015-05-28","后里園區","陳情","豐原區","母","三豐路","三花","","貓","","","http://www.animal.taichung.gov.tw/public/Data/119020/55289495371.JPG"
"10405280019","2015-05-28","南屯園區","陳情","霧峰區","公","中投西路","白色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/552816481871.JPG"
"10405280018","2015-05-28","南屯園區","陳情","梧棲區","公","南堤消防隊","黃色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/552816485571.JPG"
"10405280017","2015-05-28","南屯園區","陳情","霧峰區","母","大坑巷","虎斑","","貓","","","http://www.animal.taichung.gov.tw/public/Data/119020/552816492071.JPG"
"10405280016","2015-05-28","南屯園區","陳情","南區","公","復興路","虎斑","","貓","","左剪耳/104/05/29飼主領回","http://www.animal.taichung.gov.tw/public/Data/119020/552816494871.JPG"
"10405280015","2015-05-28","南屯園區","民眾拾獲","西區","公","朝陽街","棕色","900108001449***","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/552816151071.JPG"
"10405280014","2015-05-28","南屯園區","民眾拾獲","沙鹿區","母","鎮南路2段","虎斑","","貓","","","http://www.animal.taichung.gov.tw/public/Data/119020/552816132171.JPG"
"10405280013","2015-05-28","南屯園區","陳情","梧棲區","母","南堤路3段","黑棕","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/552812473171.JPG"
"10405280012","2015-05-28","南屯園區","陳情","梧棲區","公","南堤路3段","黑棕","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/552812431771.JPG"
"10405280011","2015-05-28","南屯園區","陳情","梧棲區","公","南堤路3段","黑棕","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/552812421871.JPG"
"10405280010","2015-05-28","南屯園區","陳情","梧棲區","母","南堤路3段","黑棕","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/552812412471.JPG"
"10405280009","2015-05-28","南屯園區","民眾拾獲","大肚區","母","遊園路","虎斑","","貓","","","http://www.animal.taichung.gov.tw/public/Data/119020/552812395971.JPG"
"10405280008","2015-05-28","南屯園區","飼主不擬續養","南區","母","自行送交","白色","","貓","","","http://www.animal.taichung.gov.tw/public/Data/119020/552812385571.JPG"
"10405280007","2015-05-28","南屯園區","陳情","烏日區","公","中山路3段","虎斑","","貓","","左剪耳","http://www.animal.taichung.gov.tw/public/Data/119020/552812373871.JPG"
"10405280006","2015-05-28","南屯園區","急難救助","北區","公","太原北路","黑色","1312173***","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/552812363371.JPG"
"10405280005","2015-05-28","南屯園區","急難救助","南屯區","公","黎明路與永順路口","棕色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/55281235671.JPG"
"10405280004","2015-05-28","南屯園區","民眾拾獲","霧峰區","公","中正路","黃色","","混種犬","","104/5/28飼主領回","http://www.animal.taichung.gov.tw/public/Data/119020/552811162971.JPG"
"10405280003","2015-05-28","南屯園區"," 陳情  ","大里區","公","國中路","虎斑","","貓","","","http://www.animal.taichung.gov.tw/public/Data/119020/55289441871.JPG"
"10405280002","2015-05-28","南屯園區"," 陳情  ","南屯區","母","大墩路","虎斑","","貓","","","http://www.animal.taichung.gov.tw/public/Data/119020/55289425071.JPG"
"10405280001","2015-05-28","南屯園區","急難救助","太平區","公","太平22街","黑色","","貓","","","http://www.animal.taichung.gov.tw/public/Data/119020/5528941771.JPG"
"10405276011","2015-05-27","后里園區","急難救助","豐原區","公","自強南路","黑白","","貓","","","http://www.animal.taichung.gov.tw/public/Data/119020/552716422971.JPG"
"10405276010","2015-05-27","后里園區","陳情","豐原區","公","南陽路","橘","","貓","","","http://www.animal.taichung.gov.tw/public/Data/119020/552716404671.JPG"
"10405276009","2015-05-27","后里園區","陳情","豐原區","公","東陽路","黑色","","混種犬","","紅色項圈","http://www.animal.taichung.gov.tw/public/Data/119020/552716391671.JPG"
"10405276008","2015-05-27","后里園區","陳情","豐原區","母","東陽路","黑色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/552716373871.JPG"
"10405276007","2015-05-27","后里園區","陳情","豐原區","公","大豐路","黑色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/552716363171.JPG"
"10405276006","2015-05-27","后里園區","急難救助","潭子區","公","中山路","黑灰","","混種犬","","迷彩項圈","http://www.animal.taichung.gov.tw/public/Data/119020/552716352671.JPG"
"10405276004","2015-05-27","后里園區","急難救助","豐原區","公","育英路","黑白","900138000377***","似吉娃娃","","","http://www.animal.taichung.gov.tw/public/Data/119020/5527104302.JPG"
"10405276003","2015-05-27","后里園區","陳情","大甲區","","文武路","綠色","","似鸚鵡","","左腳有腳環","http://www.animal.taichung.gov.tw/public/Data/119020/55271040371.JPG"
"10405276002","2015-05-27","后里園區","陳情","大雅區","公","中清路","黃色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/552710361271.JPG"
"10405276001","2015-05-27","后里園區","陳情","大雅區","母","中清路","黃色","900108001495***","混種犬","","鐵鍊104/5/30飼主領回","http://www.animal.taichung.gov.tw/public/Data/119020/552710325471.JPG"
"10405270004","2015-05-27","南屯園區","陳情","霧峰區","母","光明路","三花","","貓","","","http://www.animal.taichung.gov.tw/public/Data/119020/55271694371.JPG"
"10405270003","2015-05-27","南屯園區","飼主不擬續養","太平區","公","自行送交","黑色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/55271484271.JPG"
"10405270002","2015-05-27","南屯園區","民眾拾獲","中區","公","中華路","白虎斑","","貓","","","http://www.animal.taichung.gov.tw/public/Data/119020/55279131671.JPG"
"10405270001","2015-05-27","南屯園區","民眾拾獲","南屯區","母","永春東路與萬和路口","虎斑","","貓","","","http://www.animal.taichung.gov.tw/public/Data/119020/55279133271.JPG"
"10405266006","2015-05-26","后里園區","飼主不擬續養","大甲區","母","自行送交","白色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/5526153602.JPG"
"10405266005","2015-05-26","后里園區","民眾拾獲","梧棲區","母","東京保齡球場","白色","900108000740***","混種犬","","104/06/01飼主領回","http://www.animal.taichung.gov.tw/public/Data/119020/552614502471.JPG"
"10405266003","2015-05-26","后里園區","陳情","新社區","母","下坪路","棕色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/5526120971.JPG"
"10405266002","2015-05-26","后里園區","陳情","新社區","公","龍安街","棕色","","混種犬","","紅綠項圈","http://www.animal.taichung.gov.tw/public/Data/119020/552611595471.JPG"
"10405266001","2015-05-26","后里園區","陳情","清水區","母","鎮新路","黑色","","混種犬","","左剪耳 短尾巴","http://www.animal.taichung.gov.tw/public/Data/119020/552611191171.JPG"
"10405260006","2015-05-26","南屯園區","民眾拾獲","中區","公","綠川西街","白色","","瑪爾濟斯","","","http://www.animal.taichung.gov.tw/public/Data/119020/5526140171.JPG"
"10405260005","2015-05-26","南屯園區","陳情","北屯區","母","四平路","花色","","貓","","","http://www.animal.taichung.gov.tw/public/Data/119020/552613583771.JPG"
"10405260004","2015-05-26","南屯園區","陳情","北屯區","公","太原路","黑色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/552613382471.JPG"
