animal_opendate,animal_found_place,animal_pedigree,animal_sex,animal_bodytype,animal_colour,animal_chip_number,animal_entry_reason
民國104年5月13日,許家村,混種犬,公,大,黑黃,,22
民國104年5月14日,烏崁里,混種犬,公,中,黃白,,23
民國104年5月14日,尖山村,混種犬,母,中,黑,,24
民國104年5月15日,西文里,混種貓,公,小,黑,,C5
民國104年5月15日,西文里,混種貓,公,小,黑,,C6
民國104年5月15日,西文里,混種貓,母,小,黑,,C7
民國104年5月15日,烏崁里,混種貓,公,小,黑,,C8收容所外
民國104年5月15日,烏崁里,混種貓,公,小,虎斑,,C9收容所外
民國104年5月15日,烏崁里,混種貓,公,小,虎斑,,C10收容所外
民國104年5月15日,鎖港里,混種犬,母,大,黑黃,,25
民國104年5月15日,林務所附近,混種犬,母,中,黑,,26
民國104年5月15日,林務所附近,混種犬,母,中,黑,,27
民國104年5月15日,澎科大北邊,混種犬,母,中,米白,,28
民國104年5月16日,鎖港里,混種犬,公,大,黑黃,,29
民國104年5月18日,西文里,混種貓,母,小,三花,,C11
民國104年5月18日,西文里,混種貓,母,小,三花,,C12
民國104年5月18日,西文里,混種貓,公,小,黃白,,C13
民國104年5月18日,西文里,混種犬,公,中,白,900108001526055,32民拾
民國104年5月19日,烏崁里,混種犬,母,小,黃,,33
民國104年5月19日,烏崁里,混種犬,公,小,黑白,,34
民國104年5月19日,海軍基地,混種犬,公,大,黃白,900108001489445,35
民國104年5月20日,橫礁村,混種犬,公,大,米白,,36
民國104年5月20日,鎖港里,混種犬,母,中,黑,,37
民國104年5月21日,鎖港里,混種犬,母,大,黑黃,,38
民國104年5月21日,龍門村,混種犬,母,大,黑黃,,39
民國104年5月22日,橫礁村,混種犬,母,小,黃,,40
民國104年5月22日,橫礁村,混種犬,母,小,黃,,41
民國104年5月22日,橫礁村,混種犬,母,小,黃,,42
