編號,拾獲地點,送交單位,動物類別,品種,年紀,體型,毛色,動物性別,公告時間,晶片號碼,備註
1031003-03,金城鎮,清潔隊,犬,Mix,,大,黑,母,10.03-10.14,無,
1031006-01,金沙鎮,清潔隊,犬,Mix,,大,黃,公,10.06-10.17,無,
1031006-02,金沙鎮,清潔隊,犬,Mix,,大,黑,母,10.06-10.17,無,
1031007-01,金湖鎮,清潔隊,犬,Mix,,中,黃,公,10.07-10.18,無,
1031007-02,金湖鎮,清潔隊,犬,Mix,,中,白,母,10.07-10.18,無,
1031007-03,金寧鄉,清潔隊,犬,Mix,,中,黃,公,10.07-10.18,無,
1031007-04,金寧鄉,清潔隊,犬,Mix,,中,黑,母,10.07-10.18,無,
1031008-01,烈嶼鄉,清潔隊,犬,Mix,,大,黑,公,10.08-10.19,無,
1031008-02,烈嶼鄉,清潔隊,犬,Mix,,幼犬,黑,公,10.08-10.19,無,
1031008-03,烈嶼鄉,清潔隊,犬,Mix,,幼犬,黑,公,10.08-10.19,無,
1031008-04,烈嶼鄉,清潔隊,犬,Mix,,幼犬,黑,公,10.08-10.19,無,
1031008-05,烈嶼鄉,清潔隊,犬,Mix,,幼犬,棕,母,10.08-10.19,無,
1031008-06,烈嶼鄉,清潔隊,犬,Mix,,幼犬,棕,公,10.08-10.19,無,
1031008-07,烈嶼鄉,清潔隊,犬,Mix,,幼犬,棕,公,10.08-10.19,無,
1031014-01,金湖鎮,清潔隊,犬,Mix,,中,三花,公,10.16-10.27,900138000428551,
1031015-01,金沙鎮,清潔隊,犬,Mix,,大,黑,母,10.16-10.27,無,
1031015-02,金城鎮,清潔隊,犬,Mix,,幼犬,黑棕,公,10.16-10.27,無,
1031015-03,金城鎮,清潔隊,犬,Mix,,幼犬,黑棕,公,10.16-10.27,無,
1031015-04,金城鎮,清潔隊,犬,Mix,,幼犬,黃,公,10.16-10.27,無,
1031015-05,金城鎮,清潔隊,犬,Mix,,幼犬,黃,母,10.16-10.27,無,
1031016-01,金城鎮,清潔隊,犬,Mix,,大,黑,母,10.16-10.27,無,
1031016-02,金城鎮,清潔隊,犬,Mix,,幼犬,黑棕,公,10.16-10.27,無,
1031016-03,金城鎮,清潔隊,犬,Mix,,幼犬,黑棕,公,10.16-10.27,無,
1031016-04,金寧鄉,清潔隊,犬,Mix,,大,黑,公,10.16-10.27,無,
1031016-05,金寧鄉,清潔隊,犬,Mix,,幼犬,白,公,10.16-10.27,無,
1031016-06,金寧鄉,清潔隊,犬,Mix,,幼犬,白,公,10.16-10.27,無,
1031016-07,金寧鄉,清潔隊,犬,Mix,,幼犬,白,公,10.16-10.27,無,
1031016-08,金寧鄉,清潔隊,犬,Mix,,幼犬,白,公,10.16-10.27,無,
1031017-01,金湖鎮,清潔隊,犬,Mix,,大,黑棕,母,10.20-10.31,無,
1031017-02,金寧鄉,清潔隊,犬,Mix,,幼犬,黑棕,公,10.20-10.31,無,
1031017-03,金寧鄉,清潔隊,犬,Mix,,幼犬,黑棕,公,10.20-10.31,無,
1031017-04,金寧鄉,清潔隊,犬,Mix,,幼犬,黑棕,公,10.20-10.31,無,
1031017-05,金寧鄉,清潔隊,犬,Mix,,幼犬,黑,公,10.20-10.31,無,
1031017-06,金寧鄉,清潔隊,犬,Mix,,幼犬,黑,公,10.20-10.31,無,
1031017-07,金寧鄉,清潔隊,犬,Mix,,幼犬,黑,母,10.20-10.31,無,
1031020-01,金城鎮,清潔隊,犬,Mix,,大,黑棕,母,10.20-10.31,無,
1031021-01,金沙鎮,清潔隊,犬,Mix,,大,黑,公,10.21-11.01,無,背部撕裂傷
1031021-02,金沙鎮,清潔隊,犬,Mix,,大,白,母,10.21-11.01,無,
1031021-03,金湖鎮,清潔隊,犬,Mix,,大,黑,母,10.21-11.01,無,右前腳受傷
1031021-04,金城鎮,清潔隊,犬,Mix,,幼犬,虎斑,母,10.21-11.01,無,
1031022-01,烈嶼鄉,清潔隊,犬,Mix,,大,黑,公,10.22-11.02,無,
1031023-01,金湖鎮,清潔隊,犬,Mix,,大,黑黃,母,10.23-11.03,無,車禍後腿受傷
1031023-02,金寧鄉,清潔隊,犬,Mix,,大,黑,母,10.23-11.03,無,
1031023-03,金寧鄉,清潔隊,犬,Mix,,幼犬,黑,公,10.23-11.03,無,
1031023-04,金寧鄉,清潔隊,犬,Mix,,幼犬,黑,公,10.23-11.03,無,
1031023-05,金寧鄉,清潔隊,犬,Mix,,幼犬,黑,母,10.23-11.03,無,
1031023-06,金寧鄉,清潔隊,犬,Mix,,幼犬,黑,母,10.23-11.03,無,
1031023-07,金寧鄉,清潔隊,犬,Mix,,幼犬,黑棕,公,10.23-11.03,無,
1031023-08,金寧鄉,清潔隊,犬,Mix,,幼犬,黑棕,公,10.23-11.03,無,
1031023-09,金寧鄉,清潔隊,犬,Mix,,幼犬,黃,母,10.23-11.03,無,
1031023-10,金湖鎮,清潔隊,犬,Mix,,大,黃,公,10.23-11.03,無,
1031023-11,金湖鎮,清潔隊,犬,Mix,,大,黑,母,10.23-11.03,無,
1031023-12,金城鎮,清潔隊,犬,Mix,,大,黃,公,10.23-11.03,無,
1031023-13,金城鎮,清潔隊,犬,Mix,,大,黃,公,10.23-11.03,無,
1031023-14,金城鎮,清潔隊,犬,Mix,,大,黃,公,10.23-11.03,無,左後腿少一截
1031023-15,金城鎮,清潔隊,犬,Mix,,大,黑,公,10.23-11.03,無,
1031024-01,金湖鎮,清潔隊,犬,Mix,,大,黑黃,母,10.24-11.04,無,
1031024-02,金寧鄉,清潔隊,犬,Mix,,幼犬,米黃,母,10.24-11.04,無,
1031024-03,金寧鄉,清潔隊,犬,Mix,,幼犬,黑,母,10.24-11.04,無,
1031024-04,金寧鄉,清潔隊,犬,Mix,,幼犬,黑,母,10.24-11.04,無,
1031024-05,金寧鄉,清潔隊,犬,Mix,,幼犬,咖啡,母,10.24-11.04,無,
1031029-01,金湖鎮,民,,,,,,,,,
1031029-01,金城鎮,清潔隊,犬,Mix,,幼犬,黑,公,10.30-11.10,無,
1031029-02,金城鎮,清潔隊,犬,Mix,,大,黑灰,公,10.29-11.09,00064E11C9,
1031029-02,金城鎮,清潔隊,犬,Mix,,幼犬,黃,母,10.30-11.10,無,
1031029-03,金城鎮,清潔隊,犬,Mix,,大,黃,公,10.29-11.09,158100965387370,
1031029-04,金城鎮,民,,,,,,,,,
1031030-01,金沙鎮,清潔隊,犬,Mix,,大,黑黃,母,10.30-11.10,無,
1031030-02,金沙鎮,清潔隊,犬,Mix,,中,白,公,10.30-11.10,無,
1031030-03,金沙鎮,清潔隊,犬,Mix,,中,黑,母,10.30-11.10,無,
1031030-04,金沙鎮,清潔隊,犬,Mix,,幼犬,黑棕,公,10.30-11.10,無,
1031030-05,金沙鎮,清潔隊,犬,Mix,,幼犬,咖啡棕,母,10.30-11.10,無,
1031030-06,金沙鎮,清潔隊,犬,Mix,,幼犬,黃,公,10.30-11.10,無,
1031030-07,金沙鎮,清潔隊,犬,Mix,,幼犬,黃,公,10.30-11.10,無,
1031030-08,金沙鎮,清潔隊,犬,Mix,,幼犬,黃,母,10.30-11.10,無,
1031030-09,金寧鄉,清潔隊,犬,Mix,,小,白,公,10.30-11.10,900138000273049,103.10.30遺失領回
1031103-01,金寧鄉,清潔隊,犬,Mix,,大,棕,母,11.03-11.14,無,
1031103-02,金城鎮,清潔隊,犬,Mix,,大,棕,公,11.03-11.14,無,
1031103-03,金城鎮,清潔隊,犬,Mix,,大,黑,公,11.03-11.14,無,
1031103-04,金湖鎮,清潔隊,犬,Mix,,大,黃棕,公,11.03-11.14,無,
1031103-05,金湖鎮,清潔隊,犬,Mix,,大,黑棕,母,11.03-11.14,無,
1031103-06,金寧鄉,民,,,,,,,,,
1031104-01,金寧鄉,清潔隊,犬,Mix,,大,黃灰,母,11.04-11.15,無,
1031104-02,金城鎮,清潔隊,犬,黃金獵犬,,大,黃,母,11.04-11.15,0006D0F60E,棄養
1031106-01,金沙鎮,清潔隊,犬,德國狼犬,,大,黑棕,公,11.06-11.17,無,
1031106-02,金沙鎮,清潔隊,犬,Mix,,大,黑,母,11.06-11.17,無,
1031106-03,金寧鄉,清潔隊,犬,Mix,,大,黃灰,公,11.06-11.17,無,
1031106-04,金城鎮,清潔隊,犬,Mix,,大,黃,母,11.06-11.17,無,
1031106-05,金城鎮,清潔隊,犬,Mix,,幼犬,黑,公,11.06-11.17,無,
1031108-01,烈嶼鄉,清潔隊,犬,Mix,,大,黑棕,公,11.08-11.19,無,
1031108-02,烈嶼鄉,清潔隊,犬,Mix,,大,黑,母,11.08-11.19,無,
1031108-03,烈嶼鄉,清潔隊,犬,Mix,,大,黑,母,11.08-11.19,無,
1031110-01,烈嶼鄉,清潔隊,犬,Mix,,幼犬,黑棕,公,11.11-11.22,無,
1031110-02,金沙鎮,清潔隊,犬,Mix,,大,棕,母,11.11-11.22,無,
1031110-03,金寧鄉,清潔隊,犬,Mix,,幼犬,黑,公,11.11-11.22,無,
1031110-04,金湖鎮,民,,,,,,,,,
1031110-05,金湖鎮,民,,,,,,,,,
1031111-01,金城鎮,清潔隊,犬,Mix,,幼犬,灰,公,11.11-11.22,無,
1031111-02,金城鎮,清潔隊,犬,Mix,,幼犬,灰,公,11.11-11.22,無,
1031111-03,金城鎮,清潔隊,犬,Mix,,幼犬,黑,母,11.11-11.22,無,
1031111-04,金沙鎮,清潔隊,犬,Mix,,大,黑,母,11.11-11.22,無,
1031112-01,金寧鄉,清潔隊,犬,Mix,,大,黑白,公,11.12-11.23,無,
1031113-01,金寧鄉,清潔隊,犬,Mix,,中,棕,公,11.13-11.24,無,
1031113-02,金城鎮,清潔隊,犬,Mix,,幼犬,黑棕,母,11.13-11.24,無,
1031118-01,金寧鄉,清潔隊,犬,Mix,,幼犬,黑,公,11.18-11.29,無,
1031118-02,金寧鄉,清潔隊,犬,Mix,,幼犬,黑,母,11.18-11.29,無,
1031118-03,金寧鄉,清潔隊,犬,Mix,,幼犬,黑,母,11.18-11.29,無,
1031118-04,金寧鄉,清潔隊,犬,Mix,,幼犬,棕,公,11.18-11.29,無,
1031118-05,金寧鄉,清潔隊,犬,Mix,,幼犬,棕,母,11.18-11.29,無,
1031118-06,金寧鄉,清潔隊,犬,Mix,,幼犬,灰,母,11.18-11.29,無,
1031118-07,金寧鄉,清潔隊,犬,Mix,,幼犬,灰,母,11.18-11.29,無,
1031119-01,金湖鎮,清潔隊,犬,Mix,,大,黃,公,11.19-11.30,無,
1031119-02,金寧鄉,清潔隊,犬,Mix,,幼犬,棕灰,公,11.19-11.30,無,
1031119-03,金沙鎮,清潔隊,犬,Mix,,中,黃,母,11.19-11.30,無,
1031121-01,金寧鄉,清潔隊,犬,Mix,,中,黑,公,11.21-12.02,無,
1031121-02,金寧鄉,清潔隊,犬,Mix,,中（幼）,黃,母,11.21-12.02,無,
1031121-03,金湖鎮,清潔隊,犬,Mix,,大,虎斑,母,11.21-12.02,無,
1031121-04,烈嶼鄉,清潔隊,犬,Mix,,中,黑棕,公,11.21-12.02,無,
1031124-01,金湖鎮,清潔隊,犬,Mix,,大,黃灰,母,11.24-12.05,無,
1031124-02,金寧鄉,清潔隊,犬,Mix,,幼犬,白,母,11.24-12.05,無,
1031124-03,烈嶼鄉,清潔隊,犬,Mix,,大,白,母,11.24-12.05,無,
1031124-04,烈嶼鄉,清潔隊,犬,Mix,,幼犬,黑,公,11.24-12.05,無,
1031124-05,烈嶼鄉,清潔隊,犬,Mix,,幼犬,黑,公,11.24-12.05,無,
1031124-06,烈嶼鄉,清潔隊,犬,Mix,,幼犬,黑,母,11.24-12.05,無,
1031124-07,烈嶼鄉,清潔隊,犬,Mix,,幼犬,棕灰,母,11.24-12.05,無,
1031124-08,烈嶼鄉,清潔隊,犬,Mix,,幼犬,棕灰,母,11.24-12.05,無,
1031124-09,烈嶼鄉,清潔隊,犬,Mix,,幼犬,黑棕,公,11.24-12.05,無,
