來源地點,入園日期,品種,備註,性別,收容原因,晶片號碼,毛色,體型,相片網址
信義區崇法街55巷4-1號,104年5月27日,混種(幼),,母,捕捉,,斑紋,小,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-27/2015052711422733994452.jpg
信義區崇法街55巷4-1號,104年5月27日,混種(幼),,母,捕捉,,斑紋,小,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-27/2015052711430120657412.jpg
信義區崇法街55巷4-1號,104年5月27日,混種(幼),,母,捕捉,,黑黃,小,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-27/201505271145511329385915.jpg
信義區崇法街55巷4-1號,104年5月27日,混種(幼),,母,捕捉,,斑紋,小,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-27/20150527114626249860612.jpg
信義區崇法街55巷4-1號,104年5月27日,混種(幼),,公,捕捉,,黑黃,小,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-27/20150527114701516987844.jpg
安樂區自強產業道路,104年5月27日,瑪爾濟斯,,母,拾獲,90012800068****,白,,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-27/20150527150732783403575.jpg
中山區中和路200巷100弄13號,104年5月27日,混種(飼主亡故),,母,棄養,,虎斑,大,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-27/20150528093618252255278.jpg
仁愛區成功一路133巷7號,104年5月28日,混種,,公,捕捉,,黑,大,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-28/2015052815573393792521.jpg
中正區中正路393巷40號,104年5月28日,混種,,母,捕捉,,黑,小,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-28/20150528160343612816195.jpg
中山區西定路334-4號,104年5月28日,混種(受傷救援),,母,其它,,虎斑,小,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-28/20150528160436256269112.jpg
仁愛區市立南榮殯葬所,104年5月29日,混種,,公,捕捉,,黃,大,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-29/20150529092915560136282.jpg
仁愛區市立南榮殯葬所,104年5月29日,混種,,母,捕捉,,黃,中,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-29/20150529093257364880805.jpg
仁愛區市立南榮殯葬所,104年5月29日,混種,,母,捕捉,,虎斑,大,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-29/20150529093418895185379.jpg
中正區中正路393巷40號,104年5月29日,混種,,母,捕捉,,黑,大,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-29/20150529111505449690866.jpg
中正區中正路393巷40號,104年5月29日,混種,,公,捕捉,,黑,大,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-29/20150529112207575009444.jpg
中正區中正路393巷40號,104年5月29日,混種,,母,捕捉,,黑,大,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-29/20150529112236419232846.jpg
七堵區福二街69號,104年5月29日,混種,,公,捕捉,,黑,大,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-29/2015052916430698529037.jpg
仁愛區仁二路101號,104年5月29日,混種,,公,捕捉,,黑,大,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-29/201505291646371022288207.jpg
中山區西定路,104年5月29日,雪納瑞,,公,其它,,黑灰,小,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-29/201505291648091121027222.jpg
中正區中正路393巷40號,104年5月30日,混種,,母,捕捉,,黑黃,中,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-30/20150530080202314805754.jpg
