收容編號,進所日期,捕獲鄉鎮市,進所原因,年齡,性別,毛色,品種,體型,絕育,晶片號碼,位置,籠舍,url,image_url
1040868,104年04月15日,"五結  五濱路",本所捕獲,3-7歲,公,虎斑,混種狗,大,,無,宜蘭縣動植物防疫所,D-13,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7479,http://asms.wsn.com.tw/Eland/Upload/104-0868/25BC93A71993463BAC22000B26B2D755.jpg
1040869,104年04月16日,"宜蘭  陽明二路",公所捕獲,"1-3 歲",母,虎斑,混種貓,大,,無,宜蘭縣動植物防疫所,幸福貓舍-,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7480,http://asms.wsn.com.tw/Eland/Upload/104-0869/1511B7B99F4243FBAC784C38275F3F71.jpg
1040870,104年04月16日,宜蘭,公所捕獲,3-7歲,公,棕黑,混種狗,大,,無,宜蘭縣動植物防疫所,D-2,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7481,http://asms.wsn.com.tw/Eland/Upload/104-0870/B8277021C4BE41238FE5BCEBFC150DB7.jpg
1040871,104年04月16日,"南澳  東澳",公所捕獲,3-7歲,公,黑,混種狗,大,,無,宜蘭縣動植物防疫所,D-5,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7482,http://asms.wsn.com.tw/Eland/Upload/104-0871/D34989E8F4B64FE8ACB378F44369C373.jpg
1040873,104年04月16日,"南澳  南澳",公所捕獲,3-7歲,公,"黑 黑項圈",混種狗,大,,無,宜蘭縣動植物防疫所,D-5,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7484,http://asms.wsn.com.tw/Eland/Upload/104-0873/7BFD571A3DEF45979422979D27A36BEF.jpg
1040874,104年04月16日,"南澳  南澳",公所捕獲,3-7歲,公,棕黑,混種狗,大,,無,宜蘭縣動植物防疫所,D-6,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7485,http://asms.wsn.com.tw/Eland/Upload/104-0874/06C549E224EB42FF93A19950D12F2695.jpg
1040875,104年04月16日,"南澳  南澳",公所捕獲,"1-3 歲",母,黑,混種狗,大,,無,宜蘭縣動植物防疫所,E-1,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7486,http://asms.wsn.com.tw/Eland/Upload/104-0875/8E679D8939164C40AD025D646CA79BB7.jpg
1040876,104年04月16日,"南澳  南澳",公所捕獲,3-7歲,公,黑,混種狗,大,,無,宜蘭縣動植物防疫所,D-1,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7487,http://asms.wsn.com.tw/Eland/Upload/104-0876/58C6D0D0630643F99B991E50F440D831.jpg
1040881,104年04月16日,"壯圍  古結路",公所捕獲,3-7歲,母,白,混種狗,大,,無,宜蘭縣動植物防疫所,E-11,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7492,http://asms.wsn.com.tw/Eland/Upload/104-0881/B2D128D78DAF46B2AC5AC635E141E2FA.jpg
1040891,104年04月17日,"員山  蛤埤路",公所捕獲,"1-3 歲",母,黑,混種狗,大,,無,宜蘭縣動植物防疫所,E-1,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7502,http://asms.wsn.com.tw/Eland/Upload/104-0891/4FE4ACE37B0C41F79D5D0FC719E3B15F.jpg
1040892,104年04月17日,"壯圍  大福",民眾棄養,3-7歲,公,棕,混種狗,大,,無,宜蘭縣動植物防疫所,D-2,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7503,http://asms.wsn.com.tw/Eland/Upload/104-0892/89602066321A492C96183ACDDD633342.jpg
1040898,104年04月20日,"礁溪  時潮",公所捕獲,"1-3 歲",公,黃,混種狗,大,,無,宜蘭縣動植物防疫所,D-8,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7509,http://asms.wsn.com.tw/Eland/Upload/104-0898/6D68E5D8779C454EA2BB340472C9DCD7.jpg
1040899,104年04月20日,"礁溪  時潮",公所捕獲,3-7歲,母,棕黑,混種狗,大,,無,宜蘭縣動植物防疫所,E-7,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7510,http://asms.wsn.com.tw/Eland/Upload/104-0899/6A888AED806A4AA1A9AB888AB312F531.jpg
1040900,104年04月20日,"礁溪  大塭",公所捕獲,3-7歲,公,黃,混種狗,大,,無,宜蘭縣動植物防疫所,D-4,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7511,http://asms.wsn.com.tw/Eland/Upload/104-0900/691AC114D8EF4D10B59E469835AAB185.jpg
1040908,104年04月21日,"礁溪  育龍路",本所捕獲,3-7歲,公,黑,混種狗,大,,無,宜蘭縣動植物防疫所,A-3,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7519,http://asms.wsn.com.tw/Eland/Upload/104-0908/4C459E98F56F4AFA8F6FABD5733EE66E.jpg
1040926,104年04月22日,"蘇澳  東澳",公所捕獲,"1-3 歲",母,黑,混種狗,大,,無,宜蘭縣動植物防疫所,E-3,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7537,http://asms.wsn.com.tw/Eland/Upload/104-0926/30154522375A4B5BA9F97784156FF7EF.jpg
1040927,104年04月22日,"蘇澳  東澳",公所捕獲,3月齡以下,母,黑,混種狗,小,,無,宜蘭縣動植物防疫所,C-10,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7538,http://asms.wsn.com.tw/Eland/Upload/104-0927/36A961CFF893413FBC0C8101A145858F.jpg
1040931,104年04月22日,"蘇澳  東澳",公所捕獲,3月齡以下,公,棕,混種狗,小,,無,宜蘭縣動植物防疫所,C-10,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7542,"http://asms.wsn.com.tw/Eland/Upload/104-0931/C-7 104-931.jpg"
1040933,104年04月22日,"蘇澳  東澳",公所捕獲,3月齡以下,母,棕,混種狗,小,,無,宜蘭縣動植物防疫所,C-10,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7544,"http://asms.wsn.com.tw/Eland/Upload/104-0933/C-7 104-933.jpg"
1040937,104年04月23日,"大同  復興",公所捕獲,"1-3 歲",公,黑,混種狗,大,,無,宜蘭縣動植物防疫所,D-3,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7548,http://asms.wsn.com.tw/Eland/Upload/104-0937/6401D804ACFC42C6B1042171F9B4EFB4.jpg
1040938,104年04月23日,"大同  復興",公所捕獲,"1-3 歲",公,白,混種狗,大,,無,宜蘭縣動植物防疫所,D-3,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7549,http://asms.wsn.com.tw/Eland/Upload/104-0938/BF12FB38B99E4FBDA8045E77AA377545.jpg
1040941,104年04月23日,"宜蘭  宜科",公所捕獲,"1-3 歲",公,棕白,混種狗,大,,無,宜蘭縣動植物防疫所,D-13,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7552,http://asms.wsn.com.tw/Eland/Upload/104-0941/E997A12B6A324903844BA7737D83458B.jpg
1040942,104年04月23日,"宜蘭  文昌路",公所捕獲,"1-3 歲",公,棕,混種狗,大,,無,宜蘭縣動植物防疫所,D-11,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7553,http://asms.wsn.com.tw/Eland/Upload/104-0942/FF65FD998DA74D45B47FEAEA0328A7BD.jpg
1040943,104年04月23日,"五結  利成路",民眾棄養,3-7歲,公,虎斑,混種貓,大,否,90012800013○○○○,宜蘭縣動植物防疫所,幸福貓舍-,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7554,http://asms.wsn.com.tw/Eland/Upload/104-0943/2080FF5286F3476CAA437220963A42AD.jpg
1040944,104年04月23日,"五結  利成路",民眾棄養,3-7歲,公,虎斑,混種貓,大,,無,宜蘭縣動植物防疫所,幸福貓舍-,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7555,http://asms.wsn.com.tw/Eland/Upload/104-0944/80209CB854CE494FBF66982D665D8280.jpg
1040952,104年04月24日,"大同  牛鬥",公所捕獲,"1-3 歲",母,棕,混種狗,大,,無,宜蘭縣動植物防疫所,E-8,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7563,http://asms.wsn.com.tw/Eland/Upload/104-0952/53951B80BE9B498CBE2111B7C19F9240.jpg
1040953,104年04月24日,"大同  牛鬥",公所捕獲,"1-3 歲",母,黑,混種狗,大,,無,宜蘭縣動植物防疫所,E-13,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7564,http://asms.wsn.com.tw/Eland/Upload/104-0953/8B78811567E140A0BCD67549E4657B08.jpg
1040956,104年04月27日,"羅東  純精路",民眾送交,"1-3 歲",,黃虎斑,混種貓,大,,無,宜蘭縣動植物防疫所,幸福貓舍-,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7567,http://asms.wsn.com.tw/Eland/Upload/104-0956/F22B073BD1B244B0A5B2DC1487F6D9C7.jpg
1040959,104年04月27日,"五結  季水路",民眾送交,3月齡以下,,虎斑,混種貓,小,,無,宜蘭縣動植物防疫所,幸福貓舍-,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7570,http://asms.wsn.com.tw/Eland/Upload/104-0959/EBDAA2FA614C41C5B5BFA1FE294D2BFA.jpg
1040962,104年04月27日,"礁溪  德陽路",本所捕獲,"1-3 歲",母,黑,混種狗,大,,無,宜蘭縣動植物防疫所,中庭區-,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7573,http://asms.wsn.com.tw/Eland/Upload/104-0962/CEB17E5C0F65420BB24BB693D06A0947.jpg
1040970,104年04月27日,"羅東  純精路",民眾送交,3月齡以下,,三花,混種貓,大,,無,宜蘭縣動植物防疫所,幸福貓舍-,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7581,http://asms.wsn.com.tw/Eland/Upload/104-0970/D938D6FA14CD44949A90F79A87AC07F7.jpg
1040971,104年04月27日,"冬山  順安國小",本所捕獲,3月齡以下,母,黑,混種狗,小,,無,宜蘭縣動植物防疫所,C-8,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7582,http://asms.wsn.com.tw/Eland/Upload/104-0971/BED7B5C5EA8B43F3B6B03AAA0FC20943.jpg
1040972,104年04月27日,"冬山  順安國小",本所捕獲,3月齡以下,母,棕,混種狗,小,,無,宜蘭縣動植物防疫所,C-8,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7583,http://asms.wsn.com.tw/Eland/Upload/104-0972/E629107EFB2E43C199BE6AD8B961960E.jpg
1040981,104年04月28日,"員山  永同路",本所捕獲,3月齡以下,公,黑,混種狗,小,,無,宜蘭縣動植物防疫所,保育室-,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7592,http://asms.wsn.com.tw/Eland/Upload/104-0981/70713F6A25324273ACF971A2846B2725.jpg
1040984,104年04月28日,"礁溪  礁溪",民眾送交,"1-3 歲",母,白,混種狗,大,,無,宜蘭縣動植物防疫所,E-2,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7595,http://asms.wsn.com.tw/Eland/Upload/104-0984/831439E12E594C0296CA9BC8A7287D52.jpg
1040985,104年04月28日,"礁溪  礁溪",民眾送交,3月齡以下,母,白,混種狗,小,,無,宜蘭縣動植物防疫所,C-8,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7596,http://asms.wsn.com.tw/Eland/Upload/104-0985/9BA73566A9A848FF9E4562E638268813.jpg
1040986,104年04月28日,"礁溪  礁溪",民眾送交,3月齡以下,母,白,混種狗,小,,無,宜蘭縣動植物防疫所,C-8,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7597,http://asms.wsn.com.tw/Eland/Upload/104-0986/96F93FECD17B40FBBEE94F02D862E4D8.jpg
1040987,104年04月28日,"礁溪  礁溪",民眾送交,3月齡以下,母,白,混種狗,小,,無,宜蘭縣動植物防疫所,C-8,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7598,http://asms.wsn.com.tw/Eland/Upload/104-0987/C555AFB2F9D34D82BD98C2BD5EA10C79.jpg
1040989,104年04月28日,"礁溪  時潮村",公所捕獲,"1-3 歲",母,黑,混種狗,大,,無,宜蘭縣動植物防疫所,E-11,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7600,http://asms.wsn.com.tw/Eland/Upload/104-0989/D59A1475656847F2A90F89659C16C2AE.jpg
1040991,104年04月28日,"頭城  大武",公所捕獲,"1-3 歲",公,黑,混種狗,大,,無,宜蘭縣動植物防疫所,D-12,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7602,http://asms.wsn.com.tw/Eland/Upload/104-0991/7A16C7B471EC4CDBBC66FCA684AF7620.jpg
1040993,104年04月28日,"頭城  大武",公所捕獲,3-6月齡,母,棕黑,混種狗,中,,無,宜蘭縣動植物防疫所,C-13,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7604,http://asms.wsn.com.tw/Eland/Upload/104-0993/E1D6996F041A42AA8536E33BC8EE12A1.jpg
1040994,104年04月28日,"頭城  大武",公所捕獲,3-6月齡,公,棕黑,混種狗,中,,無,宜蘭縣動植物防疫所,C-13,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7605,http://asms.wsn.com.tw/Eland/Upload/104-0994/E6EAFF61ED7B4694AC74F2DB97A5B432.jpg
1041002,104年04月29日,"礁溪  大福路",公所捕獲,"1-3 歲",公,黑,混種狗,大,,無,宜蘭縣動植物防疫所,D-6,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7614,http://asms.wsn.com.tw/Eland/Upload/104-1002/66A54A40F65945E9B0ECA8F63BE82E0B.jpg
1041010,104年05月01日,"五結  三結路",民眾棄養,3-7歲,公,黑,混種狗,大,,無,宜蘭縣動植物防疫所,B-15,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7622,http://asms.wsn.com.tw/Eland/Upload/104-1010/BECBDF4A6EE44D018B1EA494B4677759.jpg
1041012,104年05月01日,"蘇澳  南強里",公所捕獲,6月齡-1歲,母,棕黑,混種狗,中,,無,宜蘭縣動植物防疫所,C-13,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7624,http://asms.wsn.com.tw/Eland/Upload/104-1012/4150E1D6BDAE4AF8907E83A390C05B01.jpg
1041015,104年05月01日,"蘇澳  南強里",公所捕獲,"1-3 歲",母,黑,混種狗,大,,無,宜蘭縣動植物防疫所,E-3,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7627,http://asms.wsn.com.tw/Eland/Upload/104-1015/43554CE8A6E74DD7AC1C84000AEE4938.jpg
1041024,104年05月04日,"三星  尚武中興路",公所捕獲,3-7歲,公,咖啡,混種狗,大,,無,宜蘭縣動植物防疫所,哺-8,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7636,http://asms.wsn.com.tw/Eland/Upload/104-1024/E1CF71F885CC4F9F9D653AED9B7661DE.jpg
1041025,104年05月04日,"大同  牛鬥",公所捕獲,6月齡-1歲,公,黃,混種狗,大,,無,宜蘭縣動植物防疫所,D-8,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7637,http://asms.wsn.com.tw/Eland/Upload/104-1025/C2190901BF044551A4F1C8C6ACB0C04B.jpg
1041026,104年05月04日,"五結  成興村",民眾送交,"1-3 歲",母,黃,混種狗,大,,無,宜蘭縣動植物防疫所,E-4,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7638,http://asms.wsn.com.tw/Eland/Upload/104-1026/AFC6B4D385034ED78B7C9B59A932D978.jpg
1041032,104年05月04日,"冬山  中山村",公所捕獲,"1-3 歲",母,咖啡,混種狗,大,,15810096527○○○○,宜蘭縣動植物防疫所,E-6,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7644,http://asms.wsn.com.tw/Eland/Upload/104-1032/4B20667925B246AC8E0B81BC753B31C2.jpg
1041033,104年05月04日,"冬山  中山村",公所捕獲,3月齡以下,公,"黑 藍項圈",混種狗,小,,無,宜蘭縣動植物防疫所,C-12,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7645,http://asms.wsn.com.tw/Eland/Upload/104-1033/942552615366491CA4FD34CBE4E3CCCC.jpg
1041034,104年05月04日,"冬山  中山村",公所捕獲,3月齡以下,公,黑,混種狗,小,,無,宜蘭縣動植物防疫所,C-12,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7646,http://asms.wsn.com.tw/Eland/Upload/104-1034/0F107FD60C5D45D3A5550B274DF98B90.jpg
1041035,104年05月04日,"冬山  中山村",公所捕獲,3月齡以下,公,咖啡,混種狗,小,,無,宜蘭縣動植物防疫所,C-12,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7647,http://asms.wsn.com.tw/Eland/Upload/104-1035/D75D06B224B744E48BEEA08BD6ACF7F3.jpg
1041036,104年05月04日,"冬山  中山村",公所捕獲,3月齡以下,公,黑,混種狗,小,,無,宜蘭縣動植物防疫所,C-12,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7648,http://asms.wsn.com.tw/Eland/Upload/104-1036/9186379AE5BC4707ABCC7C7806666E3F.jpg
1041041,104年05月05日,"礁溪  光武路",民眾送交,3-6月齡,公,黑,混種狗,小,,無,宜蘭縣動植物防疫所,C-13,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7653,http://asms.wsn.com.tw/Eland/Upload/104-1041/6353BAF6F98140889659184C1058E822.jpg
1041042,104年05月05日,"礁溪  光武路",民眾送交,3-6月齡,母,黑,混種狗,小,,無,宜蘭縣動植物防疫所,C-12,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7654,http://asms.wsn.com.tw/Eland/Upload/104-1042/EE1587E101034A6DAC9BD4ACDEE0BEB3.jpg
1041043,104年05月05日,"礁溪  光武路",民眾送交,3-6月齡,母,黑,混種狗,小,,無,宜蘭縣動植物防疫所,C-13,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7655,http://asms.wsn.com.tw/Eland/Upload/104-1043/C689903967674E009A1E89A07E36CCE1.jpg
1041044,104年05月05日,"礁溪  光武路",民眾送交,3-6月齡,母,黑,混種狗,小,,無,宜蘭縣動植物防疫所,C-13,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7656,http://asms.wsn.com.tw/Eland/Upload/104-1044/CADE011454694A2289CEF92935938749.jpg
1041045,104年05月05日,"礁溪  光武路",民眾送交,3月齡以下,母,黑,混種狗,小,,無,宜蘭縣動植物防疫所,保育室-,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7657,http://asms.wsn.com.tw/Eland/Upload/104-1045/6BD5092AC51C4BB3B682E3DF4C6CE362.jpg
1041046,104年05月05日,"礁溪  光武路",民眾送交,3-6月齡,母,黃,混種狗,小,,無,宜蘭縣動植物防疫所,C-12,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7658,http://asms.wsn.com.tw/Eland/Upload/104-1046/4329EA3E52674ABFB85529F8301E002F.jpg
1041050,104年05月05日,"頭城  頭城",公所捕獲,3月齡以下,公,棕,混種狗,小,,無,宜蘭縣動植物防疫所,保育室-,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7662,http://asms.wsn.com.tw/Eland/Upload/104-1050/9D054185EB7648F5802A21B8D1CDBF9E.jpg
1041055,104年05月05日,"頭城  復興路",公所捕獲,"1-3 歲",公,黑,混種狗,大,,無,宜蘭縣動植物防疫所,D-14,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7667,http://asms.wsn.com.tw/Eland/Upload/104-1055/903601DABEBD410B8B1A002827270053.jpg
1041056,104年05月06日,"蘇澳  隆恩路",民眾送交,"1-3 歲",,黃白,混種貓,大,,無,宜蘭縣動植物防疫所,幸福貓舍-,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7668,http://asms.wsn.com.tw/Eland/Upload/104-1056/FED98D4FA5EA40088F48D86785B99184.jpg
1041058,104年05月06日,"礁溪  時潮村",公所捕獲,3月齡以下,公,棕黑,混種狗,小,,無,宜蘭縣動植物防疫所,保育室-,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7670,http://asms.wsn.com.tw/Eland/Upload/104-1058/D9266111C00E415788047FD6F4AED07F.jpg
1041060,104年05月06日,"礁溪  時潮村",公所捕獲,3月齡以下,公,黃,混種狗,小,,無,宜蘭縣動植物防疫所,保育室-,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7672,http://asms.wsn.com.tw/Eland/Upload/104-1060/DBB137C0CA964A3F863C382340E0F63A.jpg
1041069,104年05月07日,"羅東  公正路",民眾送交,"1-3 歲",公,黑,混種狗,大,,無,宜蘭縣動植物防疫所,B-2,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7681,http://asms.wsn.com.tw/Eland/Upload/104-1069/757E9339F1B446E2B68CF5F1B9CA599B.jpg
1041070,104年05月06日,"宜蘭  泰山路",公所捕獲,"1-3 歲",,黃虎斑,混種貓,大,,無,宜蘭縣動植物防疫所,幸福貓舍-,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7682,http://asms.wsn.com.tw/Eland/Upload/104-1070/4E54903BF3E74E29BC0551D08CDBFA66.jpg
1041071,104年05月07日,"宜蘭  梅洲二路",公所捕獲,3-7歲,公,黑,混種狗,大,,無,宜蘭縣動植物防疫所,D-12,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7683,http://asms.wsn.com.tw/Eland/Upload/104-1071/F2E10949F72F4D81B3668F084E0316B0.jpg
1041076,104年05月07日,"冬山  晨溪",公所捕獲,"1-3 歲",母,黑白,混種狗,大,,無,宜蘭縣動植物防疫所,E-4,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7688,http://asms.wsn.com.tw/Eland/Upload/104-1076/CAC7142272764D15A360A740DE7059F3.jpg
1041077,104年05月07日,"五結  季水路",公所捕獲,3-6月齡,母,棕,混種狗,小,,無,宜蘭縣動植物防疫所,中庭區-,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7689,"http://asms.wsn.com.tw/Eland/Upload/104-1077/中庭 104-1077.jpg"
1041078,104年05月07日,"五結  季水路",公所捕獲,3-6月齡,母,黑,混種狗,小,,無,宜蘭縣動植物防疫所,中庭區-,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7690,"http://asms.wsn.com.tw/Eland/Upload/104-1078/中庭 104-1078.jpg"
1041079,104年05月07日,"五結  季水路",公所捕獲,3-6月齡,公,黃,混種狗,小,,無,宜蘭縣動植物防疫所,中庭區-,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7691,http://asms.wsn.com.tw/Eland/Upload/104-1079/28178F113F9F4957B94805CB0064C2C6.jpg
1041080,104年05月07日,"五結  季水路",公所捕獲,3-6月齡,母,黑,混種狗,小,,無,宜蘭縣動植物防疫所,中庭區-,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7692,http://asms.wsn.com.tw/Eland/Upload/104-1080/94F5EE57131847078D82B22BFE8E7638.jpg
1041081,104年05月07日,"壯圍  壯圍鄉公所",公所捕獲,3-6月齡,母,黑,混種狗,小,,無,宜蘭縣動植物防疫所,中庭區-,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7693,http://asms.wsn.com.tw/Eland/Upload/104-1081/7056F9A0A3614CF6828331D4F01582B4.jpg
1041090,104年05月08日,"礁溪  礁溪林尾村",公所捕獲,"1-3 歲",公,黑白,混種狗,大,,無,宜蘭縣動植物防疫所,D-14,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7702,http://asms.wsn.com.tw/Eland/Upload/104-1090/8E94AFF2177D4B3EB7B156DCE5F2F865.jpg
1041093,104年05月08日,"礁溪  礁溪路",民眾送交,"1-3 歲",母,虎斑白,混種貓,大,,無,宜蘭縣動植物防疫所,幸福貓舍-,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7705,http://asms.wsn.com.tw/Eland/Upload/104-1093/A4D2C5EB52D247599E90007DA79882C0.jpg
1041099,104年05月11日,"五結  二結土地公廟",公所捕獲,3-7歲,公,棕,混種狗,大,,無,宜蘭縣動植物防疫所,D-15,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7711,http://asms.wsn.com.tw/Eland/Upload/104-1099/961E0D63E7494C9D96CB6BFE68CF922D.jpg
1041105,104年05月11日,"礁溪  礁溪武暖",民眾送交,3-7歲,母,黑,混種狗,大,,無,宜蘭縣動植物防疫所,E-14,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7717,http://asms.wsn.com.tw/Eland/Upload/104-1105/3B215D6E02734322BCA7DA6859F61654.jpg
1041111,104年05月12日,"冬山  義成路三段223號",公所捕獲,3-7歲,母,虎斑,混種狗,大,,無,宜蘭縣動植物防疫所,E-15,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7723,http://asms.wsn.com.tw/Eland/Upload/104-1111/ACB830386E1E41B981F16CC66B62102F.jpg
1041112,104年05月12日,"頭城  協天路",公所捕獲,"1-3 歲",公,白,混種狗,大,,無,宜蘭縣動植物防疫所,A-2,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7724,http://asms.wsn.com.tw/Eland/Upload/104-1112/49022AF2ECB446268C7EC3B4F940864A.jpg
1041113,104年05月12日,"頭城  協天路",公所捕獲,"1-3 歲",母,黑,混種狗,大,,無,宜蘭縣動植物防疫所,E-14,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7725,http://asms.wsn.com.tw/Eland/Upload/104-1113/5832EB337C2049A480A446F551201F3E.jpg
1041114,104年05月12日,"頭城  協天路",公所捕獲,3-7歲,母,黃,混種狗,大,,無,宜蘭縣動植物防疫所,E-14,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7726,http://asms.wsn.com.tw/Eland/Upload/104-1114/D416BB7973DF4240A6465ED722BC3DA9.jpg
1041115,104年05月13日,"五結  蝦之城",公所捕獲,3月齡以下,母,黑,混種狗,小,,無,宜蘭縣動植物防疫所,幼-9,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7727,http://asms.wsn.com.tw/Eland/Upload/104-1115/0C3533A730FD411C8A635049331092A4.jpg
1041116,104年05月13日,"五結  蝦之城",公所捕獲,3月齡以下,母,黑,混種狗,小,,無,宜蘭縣動植物防疫所,幼-9,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7728,http://asms.wsn.com.tw/Eland/Upload/104-1116/84E1632945D54F21BE68814DD9FB6EA6.jpg
