收容編號,進所日期,捕獲鄉鎮市,進所原因,年齡,性別,毛色,品種,體型,絕育,晶片號碼,位置,籠舍,url,image_url
1040595,104年03月17日,"頭城  濱海路",公所捕獲,"1-3 歲",公,黑,混種狗,大,,無,宜蘭縣動植物防疫所,D-15,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7200,http://asms.wsn.com.tw/Eland/Upload/104-0595/5A1097188D714F92A0141F5982D30879.jpg
1040599,104年03月17日,"頭城  新興路",公所捕獲,6月齡-1歲,,虎斑,混種貓,大,,無,宜蘭縣動植物防疫所,幸福貓舍-,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7204,http://asms.wsn.com.tw/Eland/Upload/104-0599/71BDEE81E6B5471AAEDDE532879A5592.jpg
1040600,104年03月17日,"頭城  新興路",公所捕獲,"1-3 歲",,黃,混種貓,大,,無,宜蘭縣動植物防疫所,幸福貓舍-,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7205,http://asms.wsn.com.tw/Eland/Upload/104-0600/87102B0BBA5F42BFBD6DA59BBE75D203.jpg
1040601,104年03月17日,"五結  五結中路",民眾棄養,6月齡-1歲,母,咖啡,混種狗,大,是,無,宜蘭縣動植物防疫所,E-1,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7206,http://asms.wsn.com.tw/Eland/Upload/104-0601/32F50CDC71F946E1BED606279C09D7B5.jpg
1040606,104年03月18日,"宜蘭  林森路",民眾棄養,"1-3 歲",母,黑,混種狗,大,,無,宜蘭縣動植物防疫所,E-7,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7211,http://asms.wsn.com.tw/Eland/Upload/104-0606/800C0A82501E4E25B8DD382E49662460.jpg
1040610,104年03月19日,"宜蘭  中山路",公所捕獲,6月齡-1歲,,黑,混種貓,大,,無,宜蘭縣動植物防疫所,幸福貓舍-,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7215,http://asms.wsn.com.tw/Eland/Upload/104-0610/80BCCFE0420049769F1A78EE1AF5BBD8.jpg
1040612,104年03月19日,"宜蘭  幾米廣場",公所捕獲,"1-3 歲",,虎斑,混種貓,大,,無,宜蘭縣動植物防疫所,幸福貓舍-,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7217,http://asms.wsn.com.tw/Eland/Upload/104-0612/2183DB0712034779960DDC053FF01FD8.jpg
1040618,104年03月19日,"員山  榮光路",公所捕獲,"1-3 歲",母,黑,混種狗,大,,無,宜蘭縣動植物防疫所,E-8,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7223,http://asms.wsn.com.tw/Eland/Upload/104-0618/8EC6A8A784794D3BB08766F206FEE1B8.jpg
1040626,104年03月23日,"羅東  北成路",民眾送交,"1-3 歲",母,棕黑,混種狗,大,,無,宜蘭縣動植物防疫所,E-10,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7231,http://asms.wsn.com.tw/Eland/Upload/104-0626/C0E98BC349364E93ACEC0BE3C855BBA5.jpg
1040638,104年03月24日,"三星  人和村",公所捕獲,3月齡以下,公,黑,混種狗,小,,無,宜蘭縣動植物防疫所,幼-6,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7243,http://asms.wsn.com.tw/Eland/Upload/104-0638/293F0FA9FA064B2BBA877D02C2371783.jpg
