收容編號,進所日期,捕獲鄉鎮市,進所原因,年齡,性別,毛色,品種,體型,絕育,晶片號碼,位置,籠舍,照片連結,網頁連結
S040413-12,104年04月13日,東山區,民眾送交,3月齡以下,母,黑,混種狗,小,否,無,臺南市動物之家-善化站,P區-P3,http://asms.wsn.com.tw/TN/Upload/S040413-12/9483868E8BD74582BCAA14F15D40B6BE.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2472&fn=Photo&tn=SheltersReco
S040413-03,104年04月13日,北門區,本所捕獲,1-3 歲,公,虎斑,混種狗,大,否,無,臺南市動物之家-善化站,D區-D1,http://asms.wsn.com.tw/TN/Upload/S040413-03/1101D4A8DCC14374AA2DBE9E9E5F166F.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2466&fn=Photo&tn=SheltersReco
S040413-11,104年04月13日,官田區,本所捕獲,1-3 歲,公,虎斑,混種狗,大,否,無,臺南市動物之家-善化站,D區-D8,http://asms.wsn.com.tw/TN/Upload/S040413-11/9E97CD76F50D40038A7FEA3082C992DF.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2471&fn=Photo&tn=SheltersReco
S040413-09,104年04月13日,學甲區,本所捕獲,1-3 歲,公,黑,混種狗,大,否,無,臺南市動物之家-善化站,D區-D3,http://asms.wsn.com.tw/TN/Upload/S040413-09/0C8EFF59A63D4A46A49EFD0F459A5188.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2469&fn=Photo&tn=SheltersReco
S040413-04,104年04月13日,善化區,本所捕獲,1-3 歲,公,黃,混種狗,大,否,無,臺南市動物之家-善化站,D區-D2,http://asms.wsn.com.tw/TN/Upload/S040413-04/20E00FE1330749CBB7643D3369A87186.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2467&fn=Photo&tn=SheltersReco
S040413-08,104年04月13日,麻豆區,本所捕獲,1-3 歲,公,黑,混種狗,大,否,無,臺南市動物之家-善化站,D區-D5,http://asms.wsn.com.tw/TN/Upload/S040413-08/019EB22AE63C46EE9A5F2279CFE03E53.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2468&fn=Photo&tn=SheltersReco
S040413-10,104年04月13日,新營區,本所捕獲,1-3 歲,公,黑,混種狗,大,否,無,臺南市動物之家-善化站,D區-D10,http://asms.wsn.com.tw/TN/Upload/S040413-10/E928DFBCF768446BBFF1BBB6E929FB56.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2470&fn=Photo&tn=SheltersReco
S040413-01,104年04月13日,東山區,本所捕獲,1-3 歲,母,黃,混種狗,大,否,無,臺南市動物之家-善化站,B區-B4,http://asms.wsn.com.tw/TN/Upload/S040413-01/00C0E545C6214E97891BAAD8398DBC12.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2464&fn=Photo&tn=SheltersReco
S040413-02,104年04月13日,北門區,本所捕獲,1-3 歲,公,虎斑,混種狗,大,否,無,臺南市動物之家-善化站,C區-C3,http://asms.wsn.com.tw/TN/Upload/S040413-02/6DE4C5FEF01548BDB21C3D921A00F786.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2465&fn=Photo&tn=SheltersReco
鵝-1,104年04月13日,東區  東門路三段,民眾送交,1-3 歲,公,灰黑,,小,,無,臺南市動物之家-灣裡站,鳥園-鳥園,http://asms.wsn.com.tw/TN/Upload/%e9%b5%9d-1/700A9823AE1545E9BA45255F2D8AAB99.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2463&fn=Photo&tn=SheltersReco
W040413-08,104年04月13日,北區  三德里長北街,民眾棄養,3-7歲,公,黃梗毛,混種狗,中,,99000000003○○○○,臺南市動物之家-灣裡站,D-12,http://asms.wsn.com.tw/TN/Upload/W040413-08/846CB8F58F5746E786FB0A6C6F3067C3.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2456&fn=Photo&tn=SheltersReco
W040413-10,104年04月13日,七股區  三股里31-12號,民眾送交,3-7歲,公,黑,混種狗,中,,無,臺南市動物之家-灣裡站,A-2,http://asms.wsn.com.tw/TN/Upload/W040413-10/060E0EC5BA65461A927ECF7AA1B58278.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2458&fn=Photo&tn=SheltersReco
W040413-04,104年04月13日,安南區  顯宮里工業二路100號,本所捕獲,1-3 歲,公,虎斑,混種狗,中,,90013800051○○○○,臺南市動物之家-灣裡站,A-2,http://asms.wsn.com.tw/TN/Upload/W040413-04/2BCD5D96B78147699EB36D4859664EA4.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2452&fn=Photo&tn=SheltersReco
W040413-09,104年04月13日,南區  新建路,民眾棄養,3-7歲,公,黃,混種狗,中,,99000000○○○○,臺南市動物之家-灣裡站,A-6,http://asms.wsn.com.tw/TN/Upload/W040413-09/6FA1A5BE22454E7496785911D0A99A69.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2457&fn=Photo&tn=SheltersReco
S040413-14,104年04月13日,官田區,民眾送交,3-7歲,母,白,混種狗,小,否,無,臺南市動物之家-善化站,H區-H24,http://asms.wsn.com.tw/TN/Upload/S040413-14/54B45266394D4C8DAC14342BBB97CE41.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2473&fn=Photo&tn=SheltersReco
W040414-12,104年04月14日,安南區  城北里安明路4段,本所捕獲,3月齡以下,母,虎斑,混種狗,中,,無,臺南市動物之家-灣裡站,代養-代養-H,http://asms.wsn.com.tw/TN/Upload/W040414-12/17.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2485&fn=Photo&tn=SheltersReco
S040414-06,104年04月14日,佳里區,本所捕獲,3-7歲,公,黑,混種狗,大,,無,臺南市動物之家-善化站,B區-B17,http://asms.wsn.com.tw/TN/Upload/S040414-06/FDD1BACA67B44F4C8D18550CB823ACEF.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2523&fn=Photo&tn=SheltersReco
S040414-02,104年04月14日,東山區,本所捕獲,1-3 歲,公,黑,混種狗,大,,無,臺南市動物之家-善化站,B區-B11,http://asms.wsn.com.tw/TN/Upload/S040414-02/CF75822FEAEA446B971E5ACCD76EE8AD.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2520&fn=Photo&tn=SheltersReco
W040414-10,104年04月14日,安南區  城北里安明路4段,本所捕獲,1-3 歲,母,黃,混種狗,中,,無,臺南市動物之家-灣裡站,代養-代養-H,http://asms.wsn.com.tw/TN/Upload/W040414-10/AAB6CB765C694DB1A8B46A33778B410A.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2483&fn=Photo&tn=SheltersReco
S040414-04,104年04月14日,新營區,本所捕獲,3-7歲,母,黑,混種狗,大,,無,臺南市動物之家-善化站,C區-C3,http://asms.wsn.com.tw/TN/Upload/S040414-04/05750206204143E9814FF2380D512965.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2522&fn=Photo&tn=SheltersReco
W040414-03,104年04月14日,永康區  崑山里大灣路,本所捕獲,3-7歲,公,米黃,混種狗,小,,無,臺南市動物之家-灣裡站,DA-9-1,http://asms.wsn.com.tw/TN/Upload/W040414-03/DC03FC2FB194455184E35B46CAFD4B95.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2476&fn=Photo&tn=SheltersReco
S040414-03,104年04月14日,六甲區,本所捕獲,3-7歲,公,黃,混種狗,大,,無,臺南市動物之家-善化站,B區-B10,http://asms.wsn.com.tw/TN/Upload/S040414-03/C7A4488DC6074F51A04CF8D6364FD75C.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2521&fn=Photo&tn=SheltersReco
W040414-13,104年04月14日,安南區  城北里安明路4段,本所捕獲,3月齡以下,母,虎斑,混種狗,中,,無,臺南市動物之家-灣裡站,D-9,http://asms.wsn.com.tw/TN/Upload/W040414-13/F381289D1AC148078FE17FF88F924AF3.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2486&fn=Photo&tn=SheltersReco
W040414-16,104年04月14日,安南區  城北里安明路4段,本所捕獲,3月齡以下,公,虎斑,混種狗,中,,無,臺南市動物之家-灣裡站,D-9,http://asms.wsn.com.tw/TN/Upload/W040414-16/B39A5955738B4B528074953BF9D773C7.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2489&fn=Photo&tn=SheltersReco
W040414-20,104年04月14日,安南區  城北里工業二路,本所捕獲,1-3 歲,公,虎斑,混種狗,中,,無,臺南市動物之家-灣裡站,B-14,http://asms.wsn.com.tw/TN/Upload/W040414-20/20.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2493&fn=Photo&tn=SheltersReco
S040415-07,104年04月15日,東區,民眾棄養,3-6月齡,母,黑,混種狗,小,,90013800041○○○○,臺南市動物之家-善化站,H區-H28,http://asms.wsn.com.tw/TN/Upload/S040415-07/A419CCBA78C74A61A280BC31C6813C5F.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2519&fn=Photo&tn=SheltersReco
W040415-10,104年04月15日,北區  北區開元路,民眾棄養,6月齡-1歲,公,黑,混種狗,中,,90013800041○○○○,臺南市動物之家-灣裡站,C-13,http://asms.wsn.com.tw/TN/Upload/W040415-10/46FC71D9D3B14244853E3BF015392D78.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2508&fn=Photo&tn=SheltersReco
W040415-09,104年04月15日,安平區  安平區育平五街,民眾棄養,6月齡-1歲,母,虎斑,混種狗,中,,99000000003○○○○,臺南市動物之家-灣裡站,代養-代養-H,http://asms.wsn.com.tw/TN/Upload/W040415-09/164CF53B115A4360ADFC35493BEC09FC.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2507&fn=Photo&tn=SheltersReco
W040415-11,104年04月15日,北區  北區開元路,民眾棄養,6月齡-1歲,公,黑白,混種狗,中,,90013800041○○○○,臺南市動物之家-灣裡站,C-6,http://asms.wsn.com.tw/TN/Upload/W040415-11/E3E89D3515234BA8800F7E7BC7329671.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2509&fn=Photo&tn=SheltersReco
W040415-03,104年04月15日,安平區  安平區西門里夕遊出張所,本所捕獲,3-7歲,公,黃,混種狗,中,,無,臺南市動物之家-灣裡站,B-16,http://asms.wsn.com.tw/TN/Upload/W040415-03/F0230016CF4148B48D6FE8D493346B4E.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2501&fn=Photo&tn=SheltersReco
W040415-13,104年04月15日,安南區  安南區聖安街,民眾棄養,3-7歲,母,白,瑪爾濟斯,小,,無,臺南市動物之家-灣裡站,DA-6-2,http://asms.wsn.com.tw/TN/Upload/W040415-13/F053525B27CA46D598D38C1737159E87.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2511&fn=Photo&tn=SheltersReco
W040416-01,104年04月16日,安南區  安南區?田里工業一路50號對面公園,本所捕獲,1-3 歲,公,黑,混種狗,中,是,無,臺南市動物之家-灣裡站,D-7,http://asms.wsn.com.tw/TN/Upload/W040416-01/60225A1D708A4BAFBB934DBA17211D3B.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2524&fn=Photo&tn=SheltersReco
W040416-10,104年04月16日,安南區  安南區顯宮里安中路5段一巷,本所捕獲,1-3 歲,母,黑,混種狗,中,,90013800051○○○○,臺南市動物之家-灣裡站,A-4,http://asms.wsn.com.tw/TN/Upload/W040417-10/4242E842BD284A44B79AD9BCAFC4DD59.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2533&fn=Photo&tn=SheltersReco
S040416-06,104年04月16日,善化區,民眾送交,3-6月齡,母,黑,混種狗,小,,無,臺南市動物之家-善化站,H區-H4,http://asms.wsn.com.tw/TN/Upload/S040416-06/A521B615D54C4568AF965F9CD450F408.jpg,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2543&fn=Photo&tn=SheltersReco
W040416-09,104年04月16日,將軍區  將軍區馬沙溝園區,本所捕獲,1-3 歲,母,虎斑,混種狗,中,,99000000002○○○○,臺南市動物之家-灣裡站,B-5,http://asms.wsn.com.tw/TN/Upload/W040416-09/C24E20C4154B4D2D89D0028BD5860F9C.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2532&fn=Photo&tn=SheltersReco
S040416-05,104年04月16日,官田區,民眾棄養,3-7歲,公,花,米格魯,中,,15809700726○○○○,臺南市動物之家-善化站,A區 -A11,http://asms.wsn.com.tw/TN/Upload/S040416-05/D99A5C0474A84341AFDD8F406F0A8DBC.jpg,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2542&fn=Photo&tn=SheltersReco
S040417-03,104年04月17日,官田區,本所捕獲,3-7歲,公,黑,混種狗,大,,無,臺南市動物之家-善化站,C區-C6,http://asms.wsn.com.tw/TN/Upload/S040417-03/E22B63EEC60D41FD919DA5B1084CBB9F.jpg,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2540&fn=Photo&tn=SheltersReco
W040417-27,104年04月17日,左鎮區  光和里八德安樂園,本所捕獲,1-3 歲,母,黑,混種狗,中,,99000000002○○○○,臺南市動物之家-灣裡站,B-4,http://asms.wsn.com.tw/TN/Upload/W040417-27/C522304B54A0484E958152E26626C7BF.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2570&fn=Photo&tn=SheltersReco
S040417-01,104年04月17日,新營區,本所捕獲,6月齡-1歲,母,花,混種狗,中,,無,臺南市動物之家-善化站,H區-H1,http://asms.wsn.com.tw/TN/Upload/S040417-01/1F3C7868343A4AC68FFDA81ED8B9499E.jpg,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2539&fn=Photo&tn=SheltersReco
W04C041701,104年04月17日,南區  興隆路,民眾送交,1-3 歲,公,虎斑,混種貓,小,,無,臺南市動物之家-灣裡站,CB-粉紅籠下,http://asms.wsn.com.tw/TN/Upload/w04C041701/E76020AA07154E348560413EC9F843A1.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2575&fn=Photo&tn=SheltersReco
S040417-04,104年04月17日,新營區,民眾棄養,1-3 歲,公,黑,混種狗,中,,90013800037○○○○,臺南市動物之家-善化站,A區 -A2,http://asms.wsn.com.tw/TN/Upload/S040417-04/B542A4B5E48947218C9258A001A7F818.jpg,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2541&fn=Photo&tn=SheltersReco
鴿-2,104年04月20日,新化區  新化區統一花園社區,民眾送交,1-3 歲,公,白,,小,,無,臺南市動物之家-灣裡站,鳥園-鳥園,http://asms.wsn.com.tw/TN/Upload/%e9%b4%bf-2/315DEEFD3B0743DCA0FACAC51246EE81.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2611&fn=Photo&tn=SheltersReco
W04C042001,104年04月20日,中西區  中西區小西里西門路一段473號,本所捕獲,1-3 歲,母,白虎班,混種貓,小,,無,臺南市動物之家-灣裡站,CB-粉紅籠下,http://asms.wsn.com.tw/TN/Upload/W04C042001/1D995965DA9B44BB9AFFE802316E5E98.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2610&fn=Photo&tn=SheltersReco
S040420-11,104年04月20日,善化區,民眾送交,3月齡以下,母,黑,混種狗,小,,無,臺南市動物之家-善化站,H區-H25,http://asms.wsn.com.tw/TN/Upload/S040420-11/58BAEA9E54DC4F45A242FB93878961AB.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2616&fn=Photo&tn=SheltersReco
W040420-16,104年04月20日,北區  北區國姓里西門路4段106號,本所捕獲,1-3 歲,公,黑,混種狗,中,,無,臺南市動物之家-灣裡站,B-20,http://asms.wsn.com.tw/TN/Upload/W040420-16/D03E1130017D467AB454B8EB67FD41BA.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2608&fn=Photo&tn=SheltersReco
S040420-10,104年04月20日,鹽水區,本所捕獲,1-3 歲,公,虎斑,混種狗,大,,無,臺南市動物之家-善化站,B區-B14,http://asms.wsn.com.tw/TN/Upload/S040420-10/DC65A8EC24124B51B8D38BE94E11F677.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2615&fn=Photo&tn=SheltersReco
S040420-19,104年04月20日,新營區,民眾送交,3月齡以下,母,黑,混種狗,小,,無,臺南市動物之家-善化站,P區-P1,http://asms.wsn.com.tw/TN/Upload/S040420-19/6815CD645E684262A4DD458DC5E48654.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2617&fn=Photo&tn=SheltersReco
S040420-07,104年04月20日,善化區,本所捕獲,1-3 歲,公,花,混種狗,大,,無,臺南市動物之家-善化站,C區-C9,http://asms.wsn.com.tw/TN/Upload/S040420-07/7ED931ADD74E4757A3533F63B9218C8F.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2614&fn=Photo&tn=SheltersReco
W04C042104,104年04月21日,南區  南區興隆路,民眾送交,3月齡以下,公,黑,混種貓,小,,無,臺南市動物之家-灣裡站,CB-粉紅籠下,http://asms.wsn.com.tw/TN/Upload/W04C042104/C77360DDA26A4EE2B9F4F2CC212493D3.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2632&fn=Photo&tn=SheltersReco
W040421-08,104年04月21日,南區  南區體育場,本所捕獲,3-6月齡,公,白,混種狗,中,,無,臺南市動物之家-灣裡站,C-14,http://asms.wsn.com.tw/TN/Upload/W040421-08/31CDA268DFCF4D6784423A39F4E22B61.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2625&fn=Photo&tn=SheltersReco
W040421-09,104年04月21日,南區  南區體育場,本所捕獲,1-3 歲,母,虎斑,混種狗,中,,99000000002○○○○,臺南市動物之家-灣裡站,D-11,http://asms.wsn.com.tw/TN/Upload/W040421-09/E6F93BF9C10B4F82B1D73E01664B1C25.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2626&fn=Photo&tn=SheltersReco
S040421-04,104年04月21日,麻豆區,本所捕獲,1-3 歲,母,黑,混種狗,大,,無,臺南市動物之家-善化站,B區-B19,http://asms.wsn.com.tw/TN/Upload/S040421-04/C8E5E8EC905B4530A94BF56F66FFD1A0.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2636&fn=Photo&tn=SheltersReco
W040421-15,104年04月21日,歸仁區  歸仁區中正十街9號,民眾棄養,3月齡以下,母,黑,混種狗,中,,90012800113○○○○,臺南市動物之家-灣裡站,D-1,http://asms.wsn.com.tw/TN/Upload/W040421-15/DFB425BA059A42D0AD38ED77944736C5.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2627&fn=Photo&tn=SheltersReco
S040421-05,104年04月21日,後壁區,民眾棄養,3-6月齡,母,白,混種狗,中,,99000000003○○○○,臺南市動物之家-善化站,H區-H5,http://asms.wsn.com.tw/TN/Upload/S040421-05/152A1DEB59F9407BA894D4D575CE56C1.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2637&fn=Photo&tn=SheltersReco
W04C042203,104年04月22日,永康區  永康區民族路,民眾送交,1-3 歲,公,白虎班,混種貓,小,,無,臺南市動物之家-灣裡站,CB-3-2,http://asms.wsn.com.tw/TN/Upload/W04C042203/8E0CDB755BCA46AA8B987296DEF007A1.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2660&fn=Photo&tn=SheltersReco
W040422-09,104年04月22日,安南區  安南區顯宮里工業二路100號,本所捕獲,1-3 歲,公,黑,混種狗,中,,無,臺南市動物之家-灣裡站,B-14,http://asms.wsn.com.tw/TN/Upload/W040422-09/FA15675EBFC04EBCA3AF438576A78ECB.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2646&fn=Photo&tn=SheltersReco
W040422-08,104年04月22日,安南區  安南區顯宮里工業二路100號,本所捕獲,1-3 歲,母,黑,混種狗,中,,無,臺南市動物之家-灣裡站,A-14,http://asms.wsn.com.tw/TN/Upload/W040422-08/0551FA2D44B046B28A56CED97FAA392B.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2645&fn=Photo&tn=SheltersReco
S040422-03,104年04月22日,麻豆區,本所捕獲,1-3 歲,公,黑,混種狗,大,,無,臺南市動物之家-善化站,C區-C15,http://asms.wsn.com.tw/TN/Upload/S040422-03/FDE711DF3C104492A344F3132737399D.jpg,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2662&fn=Photo&tn=SheltersReco
W040422-15,104年04月22日,南區  南區體育處前,本所捕獲,1-3 歲,公,黃,混種狗,中,,無,臺南市動物之家-灣裡站,C-19,http://asms.wsn.com.tw/TN/Upload/W040422-15/E75F805A250F4ACD8A9907DC7A033531.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2652&fn=Photo&tn=SheltersReco
W040422-18,104年04月22日,永康區  永康區崑山里,民眾棄養,1-3 歲,母,黑棕,混種狗,中,,99000000003○○○○,臺南市動物之家-灣裡站,A-9,http://asms.wsn.com.tw/TN/Upload/W040422-18/5D1419B1CE294DADAD0A75A049073DCC.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2655&fn=Photo&tn=SheltersReco
S040422-07,104年04月22日,善化區,本所捕獲,3月齡以下,母,黑,混種狗,小,,無,臺南市動物之家-善化站,P區-P3,http://asms.wsn.com.tw/TN/Upload/S040422-07/8EFD875FA53D4B34BD9960BC4474387D.jpg,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2663&fn=Photo&tn=SheltersReco
W040422-07,104年04月22日,安南區  安南區顯宮里工業二路100號,本所捕獲,1-3 歲,公,黑黃腳,混種狗,中,,無,臺南市動物之家-灣裡站,A-15,http://asms.wsn.com.tw/TN/Upload/W040422-07/8F2DB8CCA0DA44EBB844B7432432B044.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2644&fn=Photo&tn=SheltersReco
S040423-14,104年04月23日,新營區,民眾送交,3月齡以下,母,黑,混種狗,小,,無,臺南市動物之家-善化站,P區-P13,http://asms.wsn.com.tw/TN/Upload/S040423-14/C262252F126045DDAF0349CE13181143.jpg,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2669&fn=Photo&tn=SheltersReco
W040423-19,104年04月23日,北門區  仁里里,本所捕獲,3月齡以下,母,黑,混種狗,中,,無,臺南市動物之家-灣裡站,D-9,http://asms.wsn.com.tw/TN/Upload/W040423-19/E89157A5B4B644F5A457788C50760B29.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2681&fn=Photo&tn=SheltersReco
W040423-30,104年04月23日,安南區  安通路四段109巷3號,民眾棄養,1-3 歲,公,黃,混種狗,中,,90013800041○○○○,臺南市動物之家-灣裡站,A-12,http://asms.wsn.com.tw/TN/Upload/W040423-30/D1063CF4CB204B1A9155B3EA15DC56F4.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2692&fn=Photo&tn=SheltersReco
W040423-31,104年04月23日,北門區,民眾送交,3-7歲,公,黑,混種狗,大,,無,臺南市動物之家-灣裡站,D-4,http://asms.wsn.com.tw/TN/Upload/W040423-31/0C2FB8A7D2B3426BB20569F6A151095E.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2693&fn=Photo&tn=SheltersReco
W040423-20,104年04月23日,北門區  仁里里,本所捕獲,3月齡以下,母,黑,混種狗,中,,無,臺南市動物之家-灣裡站,代養-代養-H,http://asms.wsn.com.tw/TN/Upload/W040423-20/1FFE3F7EEA3A4545B93AF3CDCBC9EA9D.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2682&fn=Photo&tn=SheltersReco
W040423-29,104年04月23日,仁德區  仁和里,民眾棄養,1-3 歲,母,黃,混種狗,中,,99000000003○○○○,臺南市動物之家-灣裡站,B-17,http://asms.wsn.com.tw/TN/Upload/W040423-29/48027077C56448B4AF42BF00EFDC17F3.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2691&fn=Photo&tn=SheltersReco
S040423-13,104年04月23日,新營區,民眾送交,3月齡以下,母,黑,混種狗,小,,無,臺南市動物之家-善化站,P區-P4,http://asms.wsn.com.tw/TN/Upload/S040423-13/8D3AE682F02F435E955F1370C21E7F64.jpg,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2668&fn=Photo&tn=SheltersReco
S040423-08,104年04月23日,學甲區,本所捕獲,3-7歲,公,黑,混種狗,大,,無,臺南市動物之家-善化站,C區-C13,http://asms.wsn.com.tw/TN/Upload/S040423-08/FF460710642A430A9B4C183ACD976BEF.jpg,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2666&fn=Photo&tn=SheltersReco
W040423-03,104年04月23日,永康區  三合理忠孝公墓棒球場,本所捕獲,3-7歲,公,黃黑,混種狗,中,,無,臺南市動物之家-灣裡站,A-8,http://asms.wsn.com.tw/TN/Upload/W040423-03/484E2CC691CD4DDFA07CE7AE08B4B1CB.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2672&fn=Photo&tn=SheltersReco
W040423-01,104年04月23日,北門區  雙春里漁塭路,本所捕獲,3-7歲,母,黑黃腳,混種狗,中,,無,臺南市動物之家-灣裡站,DB-3,http://asms.wsn.com.tw/TN/Upload/W040423-01/7BC8067A6BE2406B96F9AF81A15B4BE2.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2670&fn=Photo&tn=SheltersReco
W040424-15,104年04月24日,七股區  三股里三股國小附近,本所捕獲,1-3 歲,公,黑身黃腳,混種狗,中,,無,臺南市動物之家-灣裡站,B-13,http://asms.wsn.com.tw/TN/Upload/W040424-15/709F7AF5076E4C0BA9FCB6979247CCE0.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2711&fn=Photo&tn=SheltersReco
S040424-02,104年04月24日,東區,民眾棄養,3-7歲,公,白,瑪爾濟斯,中,,無,臺南市動物之家-善化站,H區-H19,http://asms.wsn.com.tw/TN/Upload/S040424-02/C25CE23F12FA4BD3AD2A5E651060F8DE.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2770&fn=Photo&tn=SheltersReco
W040424-03,104年04月24日,安定區  海寮里160號附近,本所捕獲,1-3 歲,母,白咖啡,混種狗,中,,無,臺南市動物之家-灣裡站,DB-1,http://asms.wsn.com.tw/TN/Upload/W040424-03/84720AECD1544CE3AFE31DB639D0CC5B.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=2699&fn=Photo&tn=SheltersReco
