收容編號,進所日期,捕獲鄉鎮市,進所原因,年齡,性別,毛色,品種,體型,絕育,晶片號碼,位置,籠舍,照片連結,網頁連結
S040126-02,104年01月26日,柳營區,本所捕獲,1-3 歲,母,黑,混種狗,大,,無,臺南市動物之家-善化站,B區-B13,http://asms.wsn.com.tw/TN/Upload/S040126-02/B1071A22A2DD4170861E84D897F764D8.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=852&fn=Photo&tn=SheltersReco
S040126-10,104年01月26日,麻豆區,本所捕獲,3月齡以下,母,黃,混種狗,小,,無,臺南市動物之家-善化站,P區-P8,http://asms.wsn.com.tw/TN/Upload/S040126-10/CC9161C6B3F74A1D8873C89F4C103D95.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=853&fn=Photo&tn=SheltersReco
S040126-01,104年01月26日,北區,本所捕獲,1-3 歲,母,白,貴賓,中,,無,臺南市動物之家-善化站,H區-H23,http://asms.wsn.com.tw/TN/Upload/S040126-01/E80742AE98124A0B8E697145E8DB93FC.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=851&fn=Photo&tn=SheltersReco
S040127-02,104年01月27日,東山區,本所捕獲,1-3 歲,公,黑,混種狗,大,,無,臺南市動物之家-善化站,B區-B7,http://asms.wsn.com.tw/TN/Upload/S040127-02/90CDF32733C441FBB7FA6880C2A75BAA.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=881&fn=Photo&tn=SheltersReco
S040127-01,104年01月27日,永康區,本所捕獲,1-3 歲,公,黑黃,混種狗,中,,無,臺南市動物之家-善化站,C區-C6,http://asms.wsn.com.tw/TN/Upload/S040127-01/5CE47B57452946298F5158E340FBEF0B.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=880&fn=Photo&tn=SheltersReco
S040127-04,104年01月27日,學甲區,本所捕獲,1-3 歲,母,虎斑,混種狗,大,,無,臺南市動物之家-善化站,C區-C8,http://asms.wsn.com.tw/TN/Upload/S040127-04/8B693B80D6AD43E7B64F1FA023768971.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=882&fn=Photo&tn=SheltersReco
S040127-09,104年01月27日,永康區,本所捕獲,3月齡以下,母,虎斑,混種狗,小,,無,臺南市動物之家-善化站,H區-H10,http://asms.wsn.com.tw/TN/Upload/S040127-09/7B70EE5D47D949C2A9A8475334249413.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=883&fn=Photo&tn=SheltersReco
W040128-09,104年01月28日,左鎮區  睦光村,民眾棄養,1-3 歲,母,黑,混種狗,中,是,無,臺南市動物之家-灣裡站,代養-代養-H,http://asms.wsn.com.tw/TN/Upload/W040128-09/BCD348C08C5B40579DCF6E11E3D3BC35.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=885&fn=Photo&tn=SheltersReco
W040128-08,104年01月28日,左鎮區  睦光村,民眾棄養,1-3 歲,母,黑,混種狗,中,是,無,臺南市動物之家-灣裡站,代養-代養-H,http://asms.wsn.com.tw/TN/Upload/W040128-08/4AC1A42754E84567A19538AADED88E8F.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=884&fn=Photo&tn=SheltersReco
S040130-27,104年01月30日,柳營區,民眾送交,3月齡以下,公,虎斑,混種狗,小,,無,臺南市動物之家-善化站,P區-P3,http://asms.wsn.com.tw/TN/Upload/S040130-26/E6740D3E2E1E4F7780D3B815029C7CB8.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=976&fn=Photo&tn=SheltersReco
