動物編號,動物別,動物性別,動物品種,動物年齡,動物體型,動物體重,是否結紮,施打疫苗,晶片號碼,犬牌號碼,進所日期,日期,圖片
104-0190,,公,混種,成年,中型,9~22kg,否,狂犬疫苗,無,無,2015-03-05,2015-03-05,http://puppy.hccg.gov.tw/uploads/142552843847030.jpg
104-0182,,母,混種,成年,中型,9~22kg,否,狂犬疫苗,無,無,2015-03-03,2015-03-03,http://puppy.hccg.gov.tw/uploads/142537324413370.jpg
104-0176,,母,混種,成年,小型,9kg以下,否,狂犬疫苗,無,無,2015-03-03,2015-03-03,http://puppy.hccg.gov.tw/uploads/142535626624190.jpg
104-0174,,母,混種,成年,中型,9~22kg,否,狂犬疫苗,無,無,2015-03-02,2015-03-02,http://puppy.hccg.gov.tw/uploads/142528761375210.jpg
104-0171,,公,混種,成年,中型,9~22kg,否,無,無,無,2015-02-25,2015-02-25,http://puppy.hccg.gov.tw/uploads/142484403167560.jpg
104-0169,,母,混種,成年,中型,9~22kg,否,狂犬疫苗,無,無,2015-02-24,2015-02-24,http://puppy.hccg.gov.tw/uploads/142476026734010.jpg
104-0159,,母,混種,幼年,中型,9kg以下,否,綜合疫苗,無,無,2015-02-13,2015-02-13,http://puppy.hccg.gov.tw/uploads/142379947919190.jpg
104-0158,,公,混種,幼年,中型,9kg以下,否,綜合疫苗,無,無,2015-02-13,2015-02-13,http://puppy.hccg.gov.tw/uploads/142379900613010.jpg
104-0155,,公,混種,幼年,迷你,9kg以下,否,綜合疫苗,無,無,2015-02-12,2015-02-12,http://puppy.hccg.gov.tw/uploads/142372708493490.jpg
104-0154,,母,混種,幼年,中型,9kg以下,否,綜合疫苗,無,無,2015-02-12,2015-02-12,http://puppy.hccg.gov.tw/uploads/142372702221940.jpg
104-0151,,公,混種,成年,小型,9kg以下,否,狂犬疫苗,無,無,2015-02-12,2015-02-12,http://puppy.hccg.gov.tw/uploads/142371991869090.jpg
104-0150,,母,混種,成年,小型,9kg以下,否,狂犬疫苗,無,無,2015-02-12,2015-02-12,http://puppy.hccg.gov.tw/uploads/142371985216070.jpg
104-0149,,母,混種,幼年,中型,9kg以下,否,狂犬疫苗,無,無,2015-02-11,2015-02-11,http://puppy.hccg.gov.tw/uploads/142364019441250.jpg
104-0146,,母,混種,成年,小型,9kg以下,否,狂犬疫苗,無,無,2015-02-10,2015-02-10,http://puppy.hccg.gov.tw/uploads/142353916082050.jpg
104-0144,,母,混種,成年,中型,9~22kg,否,狂犬疫苗,無,無,2015-02-10,2015-02-10,http://puppy.hccg.gov.tw/uploads/142353903043550.jpg
104-0138,,母,混種,幼年,中型,9kg以下,否,無,無,無,2015-02-06,2015-02-06,http://puppy.hccg.gov.tw/uploads/142320926612050.jpg
104-0135,,公,混種,成年,小型,9kg以下,否,狂犬疫苗,無,無,2015-02-06,2015-02-06,http://puppy.hccg.gov.tw/uploads/142318973562240.jpg
104-0134,,母,混種,幼年,小型,9kg以下,否,狂犬疫苗,無,無,2015-02-05,2015-02-05,http://puppy.hccg.gov.tw/uploads/142310630186690.jpg
104-0132,,公,混種,成年,小型,9kg以下,否,狂犬疫苗,無,無,2015-02-05,2015-02-05,http://puppy.hccg.gov.tw/uploads/142310616319010.jpg
