收容編號,進所日期,捕獲鄉鎮市,進所原因,年齡,性別,毛色,品種,體型,絕育,晶片號碼,位置,籠舍,url,image_url
0529C4-4,104年05月29日,"鼓山區  鼓山一路",本所捕獲,3月齡以下,母,花,混種貓,小,否,無,壽山園區,貓舍-貓房4,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23683&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0529C4-4/A48856A85B004C73B9CF6C219EDA722D.JPG
0529A20,104年05月29日,"小港區  光和路",本所捕獲,3-7歲,母,黑,混種狗,大,否,無,壽山園區,大犬舍-待20,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23682&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0529A20/9AFD48FCE2B04C039672334282EBBD2A.JPG
0529C3-1,104年05月29日,"前鎮區  南寧街",本所捕獲,"1-3 歲",母,虎斑,混種貓,大,否,無,壽山園區,貓舍-貓房3,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23671&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0529C3-1/C1C2C01DF3A34B438FF6917AB99C2721.JPG
0529C4-2,104年05月29日,"鼓山區  鼓山一路",本所捕獲,3月齡以下,母,花,混種貓,小,否,無,壽山園區,貓舍-貓房4,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23685&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0529C4-2/E39A5346816E449E81C720BF7155B43F.JPG
0529F,104年05月29日,"小港區  松樂街",本所捕獲,3月齡以下,母,黃,混種狗,小,否,無,壽山園區,醫務室-醫內6,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23669&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0529F/80A9FE8858C94316BB64CBD1E4459B2A.JPG
0529A7,104年05月29日,"小港區  光和路",本所捕獲,6月齡-1歲,公,黑,混種狗,中,否,無,壽山園區,大犬舍-待7,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23680&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0529A7/26DE67FCA0D04BE7AA4DC620C919435D.JPG
0529C4,104年05月29日,"鳳山區  文衡路",民眾送交,3月齡以下,公,花,混種貓,小,否,無,壽山園區,貓舍-貓房4,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23670&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0529C4/0DFEEC896DC34F58A3359345DAF82F5A.JPG
0529C4-3,104年05月29日,"鼓山區  鼓山一路",本所捕獲,3月齡以下,母,花,混種貓,小,否,無,壽山園區,貓舍-貓房4,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23684&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0529C4-3/EAA2554AB0DE4EA08961E43328BD0B5D.JPG
0529G5-1,104年05月29日,"左營區  軍區",民眾送交,3-6月齡,公,黑,混種狗,小,否,無,壽山園區,大犬舍-哺5,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23674&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0529G5-1/86450CFD49CC47DFBC627F7AFDC6CB38.JPG
0529G5-2,104年05月29日,"左營區  軍區",民眾送交,3-6月齡,母,黑,混種狗,小,否,無,壽山園區,大犬舍-哺5,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23675&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0529G5-2/B3F8566702344D01970F6B1BB38C7396.JPG
052802,104年05月28日,"美濃區  中正路一段",本所捕獲,3月齡以下,母,黃,混種狗,小,否,無,燕巢園區,幼犬舍-幼1,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23634&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/052802/319B75EBB9A64039ACD051520CD4855F.JPG
052805,104年05月28日,"杉林區  茄苳巷",本所捕獲,3月齡以下,公,虎斑,混種狗,小,否,無,燕巢園區,幼犬舍-幼1,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23637&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/052805/6EEFC641ADCD4528A1C4D0D5B778E1DE.JPG
052808,104年05月28日,"阿蓮區  玉庫路",本所捕獲,3-7歲,公,黃,混種狗,大,否,無,燕巢園區,公舍-公3,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23652&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/052808/ADDA816531CB4D508F447D1878772BC6.JPG
0529G5-3,104年05月29日,"左營區  軍區",民眾送交,3-6月齡,母,黃,混種狗,小,否,無,壽山園區,大犬舍-哺5,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23676&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0529G5-3/9A9AA6FAD1A24904B49B660541CDCD5A.JPG
052803,104年05月28日,"杉林區  茄苳巷",本所捕獲,3月齡以下,公,黑,混種狗,小,否,無,燕巢園區,幼犬舍-幼1,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23635&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/052803/052803.JPG
052806,104年05月28日,"杉林區  茄苳巷",本所捕獲,3月齡以下,母,虎斑,混種狗,小,否,無,燕巢園區,幼犬舍-幼1,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23640&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/052806/E56D22B0976341D0AF82FC0C005110F1.JPG
052809,104年05月28日,"阿蓮區  玉庫路",本所捕獲,3-7歲,母,黑,混種狗,大,否,無,燕巢園區,母舍-母2,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23654&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/052809/A0ED748E7D904239861BC4F94A836222.JPG
052801,104年05月28日,"美濃區  中正路一段",本所捕獲,3月齡以下,母,黃,混種狗,小,否,無,燕巢園區,幼犬舍-幼1,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23633&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/052801/7A1FD4CAC2B74278B3C22A0F18C5459C.JPG
052804,104年05月28日,"杉林區  茄苳巷",本所捕獲,3月齡以下,母,棕,混種狗,小,否,無,燕巢園區,幼犬舍-幼1,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23636&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/052804/343F83AA1DCE4F64ADA278F9BA4755FD.JPG
052807,104年05月28日,"杉林區  茄苳巷",本所捕獲,3月齡以下,公,黑,混種狗,小,否,無,燕巢園區,幼犬舍-幼1,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23641&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/052807/9CB28D5E4975431DACB1E1BF4BF117B5.JPG
052810,104年05月28日,"岡山區  阿公店路",本所捕獲,7歲以上,母,棕,貴賓,中,否,無,燕巢園區,認養區-認15,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23656&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/052810/3B8BE120F6AE4FBBB9C1427F00A06EEA.JPG
0528A1,104年05月28日,"鳳山區  忠義街",本所捕獲,3-7歲,公,花,混種狗,大,否,90013800047○○○○,壽山園區,大犬舍-待1,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23660&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0528A1/6A06DA9E36E246FB89B6EF2B0D15328E.JPG
0528A6,104年05月28日,"大寮區  溪寮路",本所捕獲,3-7歲,公,黑,雪納瑞(大型),大,否,無,壽山園區,大犬舍-待6,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23638&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0528A6/5A1F6A44546E4972845F176066572585.JPG
0528C2-1,104年05月28日,"大寮區  鳳林三路",民眾送交,"1-3 歲",公,虎斑,混種貓,大,否,無,壽山園區,貓舍-貓房2,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23653&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0528C2-1/5E3FE027E6454999BA1BEE9B70FA9872.JPG
0528C3,104年05月28日,"苓雅區  三多四路",民眾送交,"1-3 歲",母,虎斑,混種貓,大,否,無,壽山園區,貓舍-貓房3,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23646&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0528C3/BA94E7BF067748BB8FD164860BCA4492.JPG
0528A13,104年05月28日,"大寮區  利民街",本所捕獲,3-7歲,母,黑,混種狗,大,否,無,壽山園區,大犬舍-待13,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23639&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0528A13/E769678A26B04A539E978B6ABC93422A.JPG
0528A6-1,104年05月28日,"左營區  軍區",民眾送交,"1-3 歲",公,黑,混種狗,大,否,無,壽山園區,大犬舍-待6,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23658&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0528A6-1/D9A38FD1B88E4649BB0D6E7C740412F9.JPG
0528C2-2,104年05月28日,"大寮區  鳳林三路",民眾送交,"1-3 歲",公,黑,混種貓,大,否,無,壽山園區,貓舍-貓房2,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23651&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0528C2-2/EC4EAA2E38D24D8F9804933132E3567D.JPG
0528G2,104年05月28日,"左營區  軍區",民眾送交,"1-3 歲",母,黃,混種狗,大,否,無,壽山園區,大犬舍-哺2,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23643&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0528G2/67A89AEEC4984D98B0CDEFF5EA1CDA35.JPG
0528A21,104年05月28日,"左營區  軍區",民眾送交,"1-3 歲",母,黃,混種狗,大,否,無,壽山園區,大犬舍-待21,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23657&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0528A21/C166859859E94A04B90333383471BAA2.JPG
0528C2,104年05月28日,"前金區  建國三路",民眾送交,3-6月齡,公,黑,混種貓,中,否,無,壽山園區,貓舍-貓房2,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23659&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0528C2/09FFA5C017754660AFC2C8456655E8AA.JPG
0528C2-3,104年05月28日,"大寮區  鳳林三路",民眾送交,"1-3 歲",公,虎斑,混種貓,大,否,無,壽山園區,貓舍-貓房2,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23650&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0528C2-3/190D336236B04CC8A9D61881ADBACABE.JPG
0528G2-1,104年05月28日,"左營區  軍區",民眾送交,3月齡以下,母,棕,混種狗,小,否,無,壽山園區,大犬舍-哺2,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23655&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0528G2-1/3B730DDD986F41668627A52ED7B83209.JPG
0528G2-2,104年05月28日,"左營區  軍區",民眾送交,3月齡以下,公,黑,混種狗,小,否,無,壽山園區,大犬舍-哺2,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23647&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0528G2-2/A7DFECE6A7984565B996017EF77A3E72.JPG
0528G2-5,104年05月28日,"左營區  軍區",民眾送交,3月齡以下,母,花,混種狗,小,否,無,壽山園區,大犬舍-哺2,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23642&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0528G2-5/D4468361E4AF4A0DBC53F6E27D41D72D.JPG
052701,104年05月27日,"旗山區  大山里",民眾棄養,7歲以上,公,黑,混種狗,大,否,無,燕巢園區,隔離區-隔15,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23600&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/052701/8ED2A6AD7E044FEC9587C3EDE712A4FF.jpg
052704,104年05月27日,"燕巢區  深中路 備註:回壽山",本所捕獲,3-6月齡,母,黑,混種狗,小,否,無,燕巢園區,其他-回壽山,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23603&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/052704/6BEC56B6B054448AAFBE8FCF872FA87C.JPG
0528G2-3,104年05月28日,"左營區  軍區",民眾送交,3月齡以下,公,黃,混種狗,小,否,無,壽山園區,大犬舍-哺2,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23645&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0528G2-3/2DDF407084244A29A10ED845430518C8.JPG
0528Q4,104年05月28日,"鳳山區  五甲三路",民眾送交,3月齡以下,公,黑,混種狗,小,否,無,壽山園區,保區-保4,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23648&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0528Q4/E95B887C95FE48A8A59C398605990490.JPG
052702,104年05月27日,"燕巢區  深中路 備註:回壽山",本所捕獲,3-6月齡,公,棕,混種狗,小,否,無,燕巢園區,其他-回壽山,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23601&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/052702/73F87E78A04D4352AA81CCDF84BC4DB1.JPG
052706,104年05月27日,"燕巢區  深中路 備註:回壽山",本所捕獲,3-6月齡,公,黑,混種狗,小,否,無,燕巢園區,其他-回壽山,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23605&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/052706/C8AB8B3067F74AD9B147A08F8C0D2398.JPG
0528G2-4,104年05月28日,"左營區  軍區",民眾送交,3月齡以下,母,黃,混種狗,小,否,無,壽山園區,大犬舍-哺2,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23644&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0528G2-4/60F57FB2C0A747DB96CAFFEAC4BE3FEB.JPG
0528Q7,104年05月28日,"鳳山區  五甲三路",民眾送交,3月齡以下,母,黑,混種狗,小,否,無,壽山園區,保區-保7,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23649&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0528Q7/FD6AD5CD089E4E978964CC540CF9D22A.JPG
052703,104年05月27日,"燕巢區  深中路 備註:回壽山",本所捕獲,3-6月齡,公,花,混種狗,小,否,無,燕巢園區,其他-回壽山,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23602&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/052703/6DA05F28471D4AC19A7F810848CA2D0B.JPG
052707,104年05月27日,"燕巢區  深中路 備註:回壽山",本所捕獲,3-6月齡,母,黑,混種狗,小,否,無,燕巢園區,其他-回壽山,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23606&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/052707/D22A849FFAFC446BA5C4D2147046D5F4.JPG
052708,104年05月27日,"燕巢區  深中路 備註:回壽山",本所捕獲,3月齡以下,母,花,混種狗,小,否,無,燕巢園區,其他-回壽山,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23607&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/052708/9176F1E2B16646668283E74B52F6435D.JPG
052711,104年05月27日,"彌陀區  進學路 備註:回壽山",本所捕獲,3月齡以下,母,黑,混種狗,小,否,無,燕巢園區,其他-回壽山,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23628&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/052711/5C14E65B7A324A22845ACA0F27000FA8.JPG
0527J1-1,104年05月27日,"旗津區  中洲三路",本所捕獲,3月齡以下,母,花,混種狗,小,否,無,壽山園區,熟區-熟1,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23620&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0527J1-1/C7E9395F54094B7989AD0719BD29930A.JPG
0527J2-1,104年05月27日,"旗津區  中洲三路",本所捕獲,3月齡以下,母,黑,混種狗,小,否,無,壽山園區,熟區-熟2,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23617&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0527J2-1/71E2F66FA2E0462ABBC2EF843A8510AB.JPG
052709,104年05月27日,"燕巢區  深中路",本所捕獲,3月齡以下,母,棕,混種狗,大,否,無,燕巢園區,母舍-母4,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23608&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/052709/BA4E1024CFFB4AB0842E96BDEFEB5785.JPG
0527A13,104年05月27日,"小港區  廠邊三路",本所捕獲,3-7歲,母,虎斑,混種狗,大,否,無,壽山園區,大犬舍-待13,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23630&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0527A13/5C867BE8A9F84D8B98FD6F971AE3FD38.JPG
0527J1-2,104年05月27日,"旗津區  中洲三路",本所捕獲,3月齡以下,母,花,混種狗,小,否,無,壽山園區,熟區-熟1,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23619&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0527J1-2/1C9B736BF0174043A7B6525BD64A6372.JPG
0527J2-2,104年05月27日,"前鎮區  中洲三路",本所捕獲,3月齡以下,母,黑,混種狗,小,否,無,壽山園區,熟區-熟2,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23616&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0527J2-2/CD6D5589225E43948C86B2A82725BD50.JPG
052710,104年05月27日,"彌陀區  進學路 備註:回壽山",本所捕獲,3月齡以下,公,黑,混種狗,小,否,無,燕巢園區,其他-回壽山,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23627&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/052710/66AF8CD861124C22ACCA08569AD2F8FB.JPG
0527A8,104年05月27日,"林園區  西溪路",本所捕獲,3-7歲,公,黃,混種狗,大,否,無,壽山園區,大犬舍-待8,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23626&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0527A8/97C454BC4EF3480CBD06848D7F940B0C.JPG
0527J1-3,104年05月27日,"旗津區  中洲三路",本所捕獲,3月齡以下,母,黑,混種狗,小,否,無,壽山園區,熟區-熟1,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23618&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0527J1-3/E3D43865DE324F6BB100D955FD1F345F.JPG
0527J2-3,104年05月27日,"旗津區  中洲三路",本所捕獲,3月齡以下,公,黑,混種狗,小,否,無,壽山園區,熟區-熟2,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23615&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0527J2-3/BB8166E8175B454F89C6F0CCAB9C9B6D.JPG
0527J4-1,104年05月27日,"旗津區  中洲三路",本所捕獲,3月齡以下,母,黑,混種狗,小,否,無,壽山園區,熟區-熟4,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23614&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0527J4-1/9DD269BE83ED4A709C634F67477147CD.JPG
0527J4-4,104年05月27日,"旗津區  中洲三路",本所捕獲,3月齡以下,母,黑,混種狗,小,否,無,壽山園區,熟區-熟4,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23611&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0527J4-4/ED7187CD8E774BBE9F9F7FA513F2FD28.JPG
0527J5-1,104年05月27日,"林園區  西溪路",本所捕獲,3月齡以下,母,黑,混種狗,小,否,無,壽山園區,熟區-熟5,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23625&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0527J5-1/6CD368B90BEA4398B6762A7D4D4DAA37.JPG
0527J5-4,104年05月27日,"林園區  西溪路",本所捕獲,3月齡以下,公,黃,混種狗,小,否,無,壽山園區,熟區-熟5,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23622&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0527J5-4/AE223681D3EC4E79B9567A672331B481.JPG
0527J4-2,104年05月27日,"旗津區  中洲三路",本所捕獲,3月齡以下,母,黑,混種狗,小,否,無,壽山園區,熟區-熟4,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23613&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0524J4-3/CB831B4A63844915B4078C1756DBB3C6.JPG
