"編號","入所","捕捉/拾獲地點","動物別","品種","性別","毛色特徵","身份註記","備註","照片"
"150529-幼犬","104年5月29日入所","國姓鄉長雙巷","犬","混種","公","白色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/23d0c63f6e981c12d26003c46933e6fa05db886b.jpg"
"150529-幼犬","104年5月29日入所","國姓鄉長雙巷","犬","混種","母","黑 胸白色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/9d67cfc612f569ce8eb52e69d38316496900ee37.jpg"
"150529-幼犬","104年5月29日入所","國姓鄉長雙巷","犬","混種","公","黃色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/420aba861f9c0601fa2b1cf493d72c53f54aa76d.jpg"
"150529-幼犬","104年5月29日入所","國姓鄉長雙巷","犬","混種","公","白色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/65e6f16b761dc850bda04a58cc5ee958aa6468c8.jpg"
"150529-幼犬","104年5月29日入所","草屯鎮雙冬里","犬","混種","公","黑 肢虎斑色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/b9a444e7f775edc1e31a1f8eefac96c3f1fc00df.jpg"
"150529-幼犬","104年5月29日入所","南投市仁和路","犬","混種","母","黑色","","無項圈  嚴重皮膚病","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/45b2dc8c8c785be44ccf76f3eae772c3069830ef.jpg"
"150529-幼犬","104年5月29日入所","鹿谷鄉中正路三段","犬","混種","母","虎斑色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/1de3e1bd54f79af4139764f2b3cc539cb2fad39d.jpg"
"150529-幼貓","104年5月29日入所","名間鄉名松路二段","貓","混種","","虎斑色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/e7ad202a03406109280f65baf8ee46ba5169cd9e.jpg"
"150528-貓","104年5月28日入所","名間鄉名松路二段","貓","混種","","虎斑白花色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/fe93c77eca13459a95f78d6b9cd94ca2e95f46ea.jpg"
"150528-貓","104年5月28日入所","南投市平和里育樂路","貓","混種","母","三色","","無項圈 哺育4仔貓","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/abc0ee527a39d6cefa50d0bb4e8ec0f8c7df62ee.jpg"
"150528-016","104年5月28日入所","中寮鄉內城村龍南路","犬","混種","母","黑白花色","","紅項圈+鐵鍊","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/2fdf803f5164290a4bbca02895f88ef716ecca10.jpg"
"150528-幼犬*4","104年5月28日入所","魚池公所協助","犬","混種","母","黑色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/712215213583828f0d88d0f29b860a458b092825.jpg"
"150528-幼犬","104年5月28日入所","鹿谷鄉初鄉村中正路","犬","混種","母","黑 隻黃色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/87beb5df492ea9087a0659fe50aee77ae77c59dc.jpg"
