id,動物編號,進所日期,捕捉地點,進所原因,動物性別,動物毛色,動物品種,動物體型,是否結紮,晶片號碼,棄養原因,動物紀錄,收容籠位,處理結果,圖片
111034,(犬)104H0055,2015/8/14,竹北市麻園一街,政府捕捉,公,黑,混(不明),小(幼年),,無晶片,,,12,****,http://animalprotection.hchg.gov.tw/sca/Animals/112364.JPG
111035,(犬)104H0056,2015/8/14,竹北市麻園一街,政府捕捉,母,黑,混(不明),小(幼年),,無晶片,,,12,****,http://animalprotection.hchg.gov.tw/sca/Animals/112365.JPG
111037,(犬)104H0058,2015/8/14,竹北市麻園一街,政府捕捉,公,黑,混(不明),小(幼年),,無晶片,,,12,****,http://animalprotection.hchg.gov.tw/sca/Animals/112367.JPG
111038,(犬)104H0059,2015/8/14,竹北市麻園一街,政府捕捉,母,黑,混(不明),小(幼年),,無晶片,,,12,****,http://animalprotection.hchg.gov.tw/sca/Animals/112368.JPG
111039,(犬)104H0060,2015/8/14,竹北市麻園一街,政府捕捉,母,黑,混(不明),小(幼年),,無晶片,,,12,****,http://animalprotection.hchg.gov.tw/sca/Animals/112369.JPG
111029,(犬)104H0050,2015/8/12,湖口鄉裝甲兵校,政府捕捉,公,黃黑色系,混(不明),小(幼年),,無晶片,,友善、親人活潑好動,G2,****,http://animalprotection.hchg.gov.tw/sca/Animals/112358.JPG
111016,(犬)104H0038,2015/8/11,竹北市仁義路,民眾送交,母,黑,混(貴賓),小(成年),,965000000347152,,待主人領回，暫不開放,G1,****,http://animalprotection.hchg.gov.tw/sca/Animals/112342.JPG
111018,(犬)104H0040,2015/8/11,竹東鎮上館里,飼主送交,母,黑,混(不明),中(幼年),,無晶片,生太多,,B1,****,http://animalprotection.hchg.gov.tw/sca/Animals/112344.JPG
111019,(犬)104H0041,2015/8/11,竹東鎮上館里,飼主送交,公,黑,混(不明),中(幼年),,無晶片,生太多,,B1,****,http://animalprotection.hchg.gov.tw/sca/Animals/112345.JPG
111020,(犬)104H0042,2015/8/11,竹東鎮上館里,飼主送交,母,黃黑色系,混(不明),中(幼年),,無晶片,生太多,,B1,****,http://animalprotection.hchg.gov.tw/sca/Animals/112346.JPG
111021,(犬)104H0043,2015/8/11,湖口鄉德盛村,政府捕捉,母,黑,混(不明),中(成年),,無晶片,,,21,****,http://animalprotection.hchg.gov.tw/sca/Animals/112347.JPG
111007,(犬)104H0029,2015/8/10,芎林鄉文華街,政府捕捉,母,黑,混(不明),小(幼年),,無晶片,,友善、親人,A2,****,http://animalprotection.hchg.gov.tw/sca/Animals/112333.JPG
111009,(犬)104H0031,2015/8/10,芎林鄉文華街,政府捕捉,公,黑,混(不明),小(幼年),,無晶片,,友善、親人,A2,****,http://animalprotection.hchg.gov.tw/sca/Animals/112335.JPG
111010,(犬)104H0032,2015/8/10,芎林鄉文華街,政府捕捉,母,黑,混(不明),小(幼年),,無晶片,,友善、親人,A2,****,http://animalprotection.hchg.gov.tw/sca/Animals/112336.JPG
110998,(犬)104H0020,2015/8/6,尖石鄉梅花,政府捕捉,公,黃、米、咖啡、棕色系,混(吉娃娃),小(成年),,無晶片,,會咬人,A1,****,http://animalprotection.hchg.gov.tw/sca/Animals/112322.JPG
110989,(犬)104H0011,2015/8/4,新埔鎮清水里,政府捕捉,公,黑,混(不明),小(幼年),,無晶片,,友善、親人活潑好動,B2,****,http://animalprotection.hchg.gov.tw/sca/Animals/112311.JPG
110990,(犬)104H0012,2015/8/4,新埔鎮清水里,政府捕捉,母,黑,混(不明),小(幼年),,無晶片,,友善、親人活潑好動,B2,****,http://animalprotection.hchg.gov.tw/sca/Animals/112312.JPG
110966,(犬)104G0123,2015/7/30,新埔鎮下寮里,政府捕捉,母,黃黑色系,混(不明),小(幼年),,無晶片,,,29,****,http://animalprotection.hchg.gov.tw/sca/Animals/112285.JPG
110961,(犬)104G0118,2015/7/29,橫山鄉新興村,政府捕捉,母,黑,混(不明),小(幼年),,無晶片,,,A2,****,http://animalprotection.hchg.gov.tw/sca/Animals/112280.JPG
110932,(犬)104G0089,2015/7/23,湖口鄉東成街,政府捕捉,母,黑,混(不明),中(成年),,無晶片,,友善、親人,孕46,****,http://animalprotection.hchg.gov.tw/sca/Animals/112249.JPG
110935,(犬)104G0092,2015/7/23,湖口鄉東成街,政府捕捉,母,黑,混(不明),小(幼年),,無晶片,,,孕46,****,http://animalprotection.hchg.gov.tw/sca/Animals/112252.JPG
110899,(犬)104G0057,2015/7/14,關西鎮仁安里,政府捕捉,母,黃、米、咖啡、棕色系,混(不明),小(幼年),,無晶片,,友善、親人活潑好動,E1,****,http://animalprotection.hchg.gov.tw/sca/Animals/112211.JPG
110901,(犬)104G0059,2015/7/14,關西鎮仁安里,政府捕捉,公,黃、米、咖啡、棕色系,混(不明),小(幼年),,無晶片,,友善、親人活潑好動,E1,****,http://animalprotection.hchg.gov.tw/sca/Animals/112213.JPG
